date,Nick Carter,Dancing with the Stars,normalized_score
2015-09-14,1,26,3.8461538461538463
2015-09-15,20,100,20.0
2015-09-16,9,41,21.951219512195124
2015-09-17,2,13,15.384615384615385
2015-09-18,2,9,22.22222222222222
2015-09-19,2,9,22.22222222222222
2015-09-20,1,8,12.5
2015-09-21,1,10,10.0
2015-09-22,5,64,7.8125
2015-09-23,5,69,7.246376811594203
2015-09-24,1,16,6.25
2015-09-25,1,11,9.090909090909092
2015-09-26,1,10,10.0
2015-09-27,1,8,12.5
2015-09-28,1,10,10.0
2015-09-29,5,47,10.638297872340425
2015-09-30,2,14,14.285714285714285
2015-10-01,1,7,14.285714285714285
2015-10-02,1,6,16.666666666666664
2015-10-03,1,6,16.666666666666664
2015-10-04,1,6,16.666666666666664
2015-10-05,0,8,0.0
2015-10-06,11,59,18.64406779661017
2015-10-07,3,17,17.647058823529413
2015-10-08,1,13,7.6923076923076925
2015-10-09,1,8,12.5
2015-10-10,1,7,14.285714285714285
2015-10-11,1,6,16.666666666666664
2015-10-12,1,8,12.5
2015-10-13,4,44,9.090909090909092
2015-10-14,1,13,7.6923076923076925
2015-10-15,1,7,14.285714285714285
2015-10-16,2,6,33.33333333333333
2015-10-17,1,6,16.666666666666664
2015-10-18,1,5,20.0
2015-10-19,1,7,14.285714285714285
2015-10-20,4,50,8.0
2015-10-21,1,14,7.142857142857142
2015-10-22,1,8,12.5
2015-10-23,1,5,20.0
2015-10-24,1,6,16.666666666666664
2015-10-25,1,5,20.0
2015-10-26,1,7,14.285714285714285
2015-10-27,3,40,7.5
2015-10-28,3,12,25.0
2015-10-29,1,6,16.666666666666664
2015-10-30,1,5,20.0
2015-10-31,1,5,20.0
2015-11-01,1,4,25.0
2015-11-02,0,6,0.0
2015-11-03,8,40,20.0
2015-11-04,2,10,20.0
2015-11-05,1,7,14.285714285714285
2015-11-06,1,6,16.666666666666664
2015-11-07,1,5,20.0
2015-11-08,1,5,20.0
2015-11-09,0,5,0.0
2015-11-10,3,51,5.88235294117647
2015-11-11,1,19,5.263157894736842
2015-11-12,1,10,10.0
2015-11-13,1,6,16.666666666666664
2015-11-14,0,5,0.0
2015-11-15,1,5,20.0
2015-11-16,0,7,0.0
2015-11-17,6,44,13.636363636363635
2015-11-18,1,11,9.090909090909092
2015-11-19,1,6,16.666666666666664
2015-11-20,1,4,25.0
2015-11-21,1,6,16.666666666666664
2015-11-22,1,5,20.0
2015-11-23,1,9,11.11111111111111
2015-11-24,7,75,9.333333333333334
