date,Victor Espinoza,Dancing with the Stars,normalized_score
2015-09-14,0,28,0.0
2015-09-15,3,100,3.0
2015-09-16,1,41,2.4390243902439024
2015-09-17,0,13,0.0
2015-09-18,0,9,0.0
2015-09-19,0,9,0.0
2015-09-20,0,8,0.0
2015-09-21,0,10,0.0
2015-09-22,3,65,4.615384615384616
2015-09-23,4,64,6.25
2015-09-24,1,16,6.25
2015-09-25,1,11,9.090909090909092
2015-09-26,0,10,0.0
2015-09-27,0,8,0.0
2015-09-28,0,10,0.0
2015-09-29,0,46,0.0
2015-09-30,0,14,0.0
2015-10-01,0,7,0.0
2015-10-02,0,6,0.0
2015-10-03,0,6,0.0
2015-10-04,0,6,0.0
2015-10-05,0,8,0.0
2015-10-06,0,57,0.0
2015-10-07,0,18,0.0
2015-10-08,0,13,0.0
2015-10-09,0,8,0.0
2015-10-10,0,7,0.0
2015-10-11,0,6,0.0
2015-10-12,0,8,0.0
2015-10-13,0,44,0.0
2015-10-14,0,13,0.0
2015-10-15,0,7,0.0
2015-10-16,0,6,0.0
2015-10-17,0,6,0.0
2015-10-18,0,5,0.0
2015-10-19,0,7,0.0
2015-10-20,0,51,0.0
2015-10-21,0,14,0.0
2015-10-22,0,8,0.0
2015-10-23,0,5,0.0
2015-10-24,0,6,0.0
2015-10-25,0,5,0.0
2015-10-26,0,7,0.0
2015-10-27,0,41,0.0
2015-10-28,0,12,0.0
2015-10-29,0,6,0.0
2015-10-30,0,5,0.0
2015-10-31,1,5,20.0
2015-11-01,0,4,0.0
2015-11-02,0,6,0.0
2015-11-03,0,41,0.0
2015-11-04,0,10,0.0
2015-11-05,0,7,0.0
2015-11-06,0,7,0.0
2015-11-07,0,5,0.0
2015-11-08,0,5,0.0
2015-11-09,0,5,0.0
2015-11-10,0,51,0.0
2015-11-11,0,17,0.0
2015-11-12,0,10,0.0
2015-11-13,0,6,0.0
2015-11-14,0,5,0.0
2015-11-15,0,5,0.0
2015-11-16,0,7,0.0
2015-11-17,0,44,0.0
2015-11-18,0,11,0.0
2015-11-19,0,6,0.0
2015-11-20,0,4,0.0
2015-11-21,0,6,0.0
2015-11-22,0,5,0.0
2015-11-23,0,9,0.0
2015-11-24,0,74,0.0
