date,Jodie Sweetin,Dancing with the Stars,normalized_score
2016-03-21,5,23,21.73913043478261
2016-03-22,17,100,17.0
2016-03-23,5,22,22.727272727272727
2016-03-24,3,11,27.27272727272727
2016-03-25,3,9,33.33333333333333
2016-03-26,4,9,44.44444444444444
2016-03-27,4,9,44.44444444444444
2016-03-28,3,12,25.0
2016-03-29,7,76,9.210526315789473
2016-03-30,4,16,25.0
2016-03-31,3,9,33.33333333333333
2016-04-01,3,8,37.5
2016-04-02,3,7,42.857142857142854
2016-04-03,3,6,50.0
2016-04-04,2,8,25.0
2016-04-05,13,54,24.074074074074073
2016-04-06,5,12,41.66666666666667
2016-04-07,3,7,42.857142857142854
2016-04-08,2,6,33.33333333333333
2016-04-09,2,6,33.33333333333333
2016-04-10,2,6,33.33333333333333
2016-04-11,2,8,25.0
2016-04-12,7,62,11.29032258064516
2016-04-13,2,14,14.285714285714285
2016-04-14,2,7,28.57142857142857
2016-04-15,1,6,16.666666666666664
2016-04-16,2,6,33.33333333333333
2016-04-17,2,7,28.57142857142857
2016-04-18,2,7,28.57142857142857
2016-04-19,5,60,8.333333333333332
2016-04-20,2,16,12.5
2016-04-21,2,8,25.0
2016-04-22,3,7,42.857142857142854
2016-04-23,4,6,66.66666666666666
2016-04-24,3,5,60.0
2016-04-25,4,8,50.0
2016-04-26,6,56,10.714285714285714
2016-04-27,2,13,15.384615384615385
2016-04-28,2,8,25.0
2016-04-29,1,5,20.0
2016-04-30,1,6,16.666666666666664
2016-05-01,1,5,20.0
2016-05-02,2,6,33.33333333333333
2016-05-03,4,57,7.017543859649122
2016-05-04,1,12,8.333333333333332
2016-05-05,1,6,16.666666666666664
2016-05-06,1,5,20.0
2016-05-07,1,5,20.0
2016-05-08,1,5,20.0
2016-05-09,1,6,16.666666666666664
2016-05-10,8,52,15.384615384615385
2016-05-11,2,10,20.0
2016-05-12,1,5,20.0
2016-05-13,1,4,25.0
2016-05-14,1,5,20.0
2016-05-15,1,5,20.0
2016-05-16,1,8,12.5
2016-05-17,2,64,3.125
2016-05-18,1,14,7.142857142857142
2016-05-19,1,7,14.285714285714285
2016-05-20,1,6,16.666666666666664
2016-05-21,1,6,16.666666666666664
2016-05-22,1,7,14.285714285714285
2016-05-23,1,14,7.142857142857142
2016-05-24,1,84,1.1904761904761905
