date,Marla Maples,Dancing with the Stars,normalized_score
2016-03-21,2,23,8.695652173913043
2016-03-22,25,100,25.0
2016-03-23,5,22,22.727272727272727
2016-03-24,3,11,27.27272727272727
2016-03-25,3,9,33.33333333333333
2016-03-26,3,9,33.33333333333333
2016-03-27,2,9,22.22222222222222
2016-03-28,2,12,16.666666666666664
2016-03-29,18,76,23.684210526315788
2016-03-30,3,16,18.75
2016-03-31,2,9,22.22222222222222
2016-04-01,2,8,25.0
2016-04-02,1,7,14.285714285714285
2016-04-03,2,6,33.33333333333333
2016-04-04,2,8,25.0
2016-04-05,14,54,25.925925925925924
2016-04-06,3,12,25.0
2016-04-07,2,7,28.57142857142857
2016-04-08,1,6,16.666666666666664
2016-04-09,1,6,16.666666666666664
2016-04-10,1,6,16.666666666666664
2016-04-11,1,8,12.5
2016-04-12,15,62,24.193548387096776
2016-04-13,5,14,35.714285714285715
2016-04-14,2,7,28.57142857142857
2016-04-15,1,6,16.666666666666664
2016-04-16,1,6,16.666666666666664
2016-04-17,1,7,14.285714285714285
2016-04-18,1,7,14.285714285714285
2016-04-19,2,60,3.3333333333333335
2016-04-20,3,16,18.75
2016-04-21,1,8,12.5
2016-04-22,1,7,14.285714285714285
2016-04-23,1,6,16.666666666666664
2016-04-24,1,5,20.0
2016-04-25,1,8,12.5
2016-04-26,1,56,1.7857142857142856
2016-04-27,1,13,7.6923076923076925
2016-04-28,1,8,12.5
2016-04-29,1,5,20.0
2016-04-30,1,6,16.666666666666664
2016-05-01,1,5,20.0
2016-05-02,0,6,0.0
2016-05-03,1,57,1.7543859649122806
2016-05-04,2,12,16.666666666666664
2016-05-05,2,6,33.33333333333333
2016-05-06,4,5,80.0
2016-05-07,3,5,60.0
2016-05-08,2,5,40.0
2016-05-09,1,6,16.666666666666664
2016-05-10,1,52,1.9230769230769231
2016-05-11,1,10,10.0
2016-05-12,1,5,20.0
2016-05-13,2,4,50.0
2016-05-14,3,5,60.0
2016-05-15,2,5,40.0
2016-05-16,2,8,25.0
2016-05-17,1,64,1.5625
2016-05-18,1,14,7.142857142857142
2016-05-19,1,7,14.285714285714285
2016-05-20,1,6,16.666666666666664
2016-05-21,1,6,16.666666666666664
2016-05-22,1,7,14.285714285714285
2016-05-23,0,14,0.0
2016-05-24,1,84,1.1904761904761905
