date,Paige VanZant,Dancing with the Stars,normalized_score
2016-03-21,1,23,4.3478260869565215
2016-03-22,9,100,9.0
2016-03-23,2,22,9.090909090909092
2016-03-24,1,11,9.090909090909092
2016-03-25,1,9,11.11111111111111
2016-03-26,2,9,22.22222222222222
2016-03-27,1,9,11.11111111111111
2016-03-28,1,12,8.333333333333332
2016-03-29,12,76,15.789473684210526
2016-03-30,2,16,12.5
2016-03-31,1,9,11.11111111111111
2016-04-01,1,8,12.5
2016-04-02,1,7,14.285714285714285
2016-04-03,1,6,16.666666666666664
2016-04-04,1,8,12.5
2016-04-05,7,54,12.962962962962962
2016-04-06,2,12,16.666666666666664
2016-04-07,1,7,14.285714285714285
2016-04-08,1,6,16.666666666666664
2016-04-09,2,6,33.33333333333333
2016-04-10,1,6,16.666666666666664
2016-04-11,2,8,25.0
2016-04-12,7,62,11.29032258064516
2016-04-13,3,14,21.428571428571427
2016-04-14,1,7,14.285714285714285
2016-04-15,1,6,16.666666666666664
2016-04-16,1,6,16.666666666666664
2016-04-17,2,7,28.57142857142857
2016-04-18,1,7,14.285714285714285
2016-04-19,8,60,13.333333333333334
2016-04-20,1,16,6.25
2016-04-21,1,8,12.5
2016-04-22,1,7,14.285714285714285
2016-04-23,1,6,16.666666666666664
2016-04-24,2,5,40.0
2016-04-25,1,8,12.5
2016-04-26,6,56,10.714285714285714
2016-04-27,2,13,15.384615384615385
2016-04-28,1,8,12.5
2016-04-29,1,5,20.0
2016-04-30,1,6,16.666666666666664
2016-05-01,1,5,20.0
2016-05-02,1,6,16.666666666666664
2016-05-03,7,57,12.280701754385964
2016-05-04,3,12,25.0
2016-05-05,2,6,33.33333333333333
2016-05-06,6,5,120.0
2016-05-07,2,5,40.0
2016-05-08,2,5,40.0
2016-05-09,1,6,16.666666666666664
2016-05-10,6,52,11.538461538461538
2016-05-11,2,10,20.0
2016-05-12,1,5,20.0
2016-05-13,1,4,25.0
2016-05-14,1,5,20.0
2016-05-15,1,5,20.0
2016-05-16,1,8,12.5
2016-05-17,12,64,18.75
2016-05-18,3,14,21.428571428571427
2016-05-19,2,7,28.57142857142857
2016-05-20,2,6,33.33333333333333
2016-05-21,2,6,33.33333333333333
2016-05-22,2,7,28.57142857142857
2016-05-23,2,14,14.285714285714285
2016-05-24,14,84,16.666666666666664
