date,Von Miller,Dancing with the Stars,normalized_score
2016-03-21,1,23,4.3478260869565215
2016-03-22,11,100,11.0
2016-03-23,3,22,13.636363636363635
2016-03-24,2,11,18.181818181818183
2016-03-25,2,9,22.22222222222222
2016-03-26,2,9,22.22222222222222
2016-03-27,2,9,22.22222222222222
2016-03-28,1,12,8.333333333333332
2016-03-29,5,76,6.578947368421052
2016-03-30,3,16,18.75
2016-03-31,2,9,22.22222222222222
2016-04-01,1,8,12.5
2016-04-02,1,7,14.285714285714285
2016-04-03,1,6,16.666666666666664
2016-04-04,2,8,25.0
2016-04-05,6,54,11.11111111111111
2016-04-06,2,12,16.666666666666664
2016-04-07,1,7,14.285714285714285
2016-04-08,1,6,16.666666666666664
2016-04-09,1,6,16.666666666666664
2016-04-10,3,6,50.0
2016-04-11,5,8,62.5
2016-04-12,7,62,11.29032258064516
2016-04-13,2,14,14.285714285714285
2016-04-14,3,7,42.857142857142854
2016-04-15,3,6,50.0
2016-04-16,2,6,33.33333333333333
2016-04-17,2,7,28.57142857142857
2016-04-18,2,7,28.57142857142857
2016-04-19,5,60,8.333333333333332
2016-04-20,3,16,18.75
2016-04-21,2,8,25.0
2016-04-22,1,7,14.285714285714285
2016-04-23,1,6,16.666666666666664
2016-04-24,1,5,20.0
2016-04-25,1,8,12.5
2016-04-26,4,56,7.142857142857142
2016-04-27,2,13,15.384615384615385
2016-04-28,2,8,25.0
2016-04-29,2,5,40.0
2016-04-30,1,6,16.666666666666664
2016-05-01,1,5,20.0
2016-05-02,1,6,16.666666666666664
2016-05-03,5,57,8.771929824561402
2016-05-04,1,12,8.333333333333332
2016-05-05,1,6,16.666666666666664
2016-05-06,1,5,20.0
2016-05-07,1,5,20.0
2016-05-08,1,5,20.0
2016-05-09,1,6,16.666666666666664
2016-05-10,1,52,1.9230769230769231
2016-05-11,1,10,10.0
2016-05-12,1,5,20.0
2016-05-13,1,4,25.0
2016-05-14,1,5,20.0
2016-05-15,1,5,20.0
2016-05-16,1,8,12.5
2016-05-17,1,64,1.5625
2016-05-18,1,14,7.142857142857142
2016-05-19,1,7,14.285714285714285
2016-05-20,1,6,16.666666666666664
2016-05-21,1,6,16.666666666666664
2016-05-22,1,7,14.285714285714285
2016-05-23,1,14,7.142857142857142
2016-05-24,1,84,1.1904761904761905
