date,Wanya Morris,Dancing with the Stars,normalized_score
2016-03-21,0,23,0.0
2016-03-22,4,100,4.0
2016-03-23,1,22,4.545454545454546
2016-03-24,0,11,0.0
2016-03-25,0,9,0.0
2016-03-26,0,9,0.0
2016-03-27,0,9,0.0
2016-03-28,0,12,0.0
2016-03-29,2,76,2.631578947368421
2016-03-30,0,16,0.0
2016-03-31,0,9,0.0
2016-04-01,0,8,0.0
2016-04-02,0,7,0.0
2016-04-03,0,6,0.0
2016-04-04,0,8,0.0
2016-04-05,1,54,1.8518518518518516
2016-04-06,0,12,0.0
2016-04-07,0,7,0.0
2016-04-08,0,6,0.0
2016-04-09,0,6,0.0
2016-04-10,0,6,0.0
2016-04-11,0,8,0.0
2016-04-12,2,62,3.225806451612903
2016-04-13,0,14,0.0
2016-04-14,0,7,0.0
2016-04-15,0,6,0.0
2016-04-16,0,6,0.0
2016-04-17,0,7,0.0
2016-04-18,0,7,0.0
2016-04-19,1,60,1.6666666666666667
2016-04-20,0,16,0.0
2016-04-21,0,8,0.0
2016-04-22,0,7,0.0
2016-04-23,0,6,0.0
2016-04-24,0,5,0.0
2016-04-25,0,8,0.0
2016-04-26,1,56,1.7857142857142856
2016-04-27,0,13,0.0
2016-04-28,0,8,0.0
2016-04-29,0,5,0.0
2016-04-30,0,6,0.0
2016-05-01,0,5,0.0
2016-05-02,0,6,0.0
2016-05-03,1,57,1.7543859649122806
2016-05-04,0,12,0.0
2016-05-05,0,6,0.0
2016-05-06,0,5,0.0
2016-05-07,0,5,0.0
2016-05-08,0,5,0.0
2016-05-09,0,6,0.0
2016-05-10,1,52,1.9230769230769231
2016-05-11,0,10,0.0
2016-05-12,0,5,0.0
2016-05-13,0,4,0.0
2016-05-14,0,5,0.0
2016-05-15,0,5,0.0
2016-05-16,0,8,0.0
2016-05-17,8,64,12.5
2016-05-18,1,14,7.142857142857142
2016-05-19,0,7,0.0
2016-05-20,0,6,0.0
2016-05-21,0,6,0.0
2016-05-22,0,7,0.0
2016-05-23,0,14,0.0
2016-05-24,0,84,0.0
