date,Amber Rose,Dancing with the Stars,normalized_score
2016-09-12,2,9,22.22222222222222
2016-09-13,17,100,17.0
2016-09-14,5,17,29.411764705882355
2016-09-15,3,8,37.5
2016-09-16,2,4,50.0
2016-09-17,2,4,50.0
2016-09-18,2,3,66.66666666666666
2016-09-19,2,4,50.0
2016-09-20,8,22,36.36363636363637
2016-09-21,8,26,30.76923076923077
2016-09-22,3,7,42.857142857142854
2016-09-23,3,4,75.0
2016-09-24,2,4,50.0
2016-09-25,2,3,66.66666666666666
2016-09-26,2,4,50.0
2016-09-27,7,11,63.63636363636363
2016-09-28,8,18,44.44444444444444
2016-09-29,3,5,60.0
2016-09-30,5,3,166.66666666666669
2016-10-01,6,3,200.0
2016-10-02,6,2,300.0
2016-10-03,4,3,133.33333333333331
2016-10-04,12,18,66.66666666666666
2016-10-05,7,20,35.0
2016-10-06,3,5,60.0
2016-10-07,2,3,66.66666666666666
2016-10-08,2,2,100.0
2016-10-09,2,2,100.0
2016-10-10,2,3,66.66666666666666
2016-10-11,8,19,42.10526315789473
2016-10-12,3,7,42.857142857142854
2016-10-13,2,4,50.0
2016-10-14,2,2,100.0
2016-10-15,3,2,150.0
2016-10-16,3,2,150.0
2016-10-17,2,3,66.66666666666666
2016-10-18,9,19,47.368421052631575
2016-10-19,4,5,80.0
2016-10-20,2,3,66.66666666666666
2016-10-21,3,3,100.0
2016-10-22,3,2,150.0
2016-10-23,2,2,100.0
2016-10-24,2,2,100.0
2016-10-25,2,15,13.333333333333334
2016-10-26,2,3,66.66666666666666
2016-10-27,1,3,33.33333333333333
2016-10-28,2,2,100.0
2016-10-29,2,2,100.0
2016-10-30,1,2,50.0
2016-10-31,2,4,50.0
2016-11-01,2,15,13.333333333333334
2016-11-02,1,4,25.0
2016-11-03,1,3,33.33333333333333
2016-11-04,1,2,50.0
2016-11-05,1,2,50.0
2016-11-06,1,2,50.0
2016-11-07,1,3,33.33333333333333
2016-11-08,1,15,6.666666666666667
2016-11-09,1,2,50.0
2016-11-10,1,2,50.0
2016-11-11,2,2,100.0
2016-11-12,1,2,50.0
2016-11-13,1,2,50.0
2016-11-14,1,3,33.33333333333333
2016-11-15,1,19,5.263157894736842
2016-11-16,1,5,20.0
2016-11-17,1,2,50.0
2016-11-18,1,2,50.0
2016-11-19,1,2,50.0
2016-11-20,1,2,50.0
2016-11-21,1,4,25.0
2016-11-22,1,25,4.0
