date,James Hinchcliffe,Dancing with the Stars,normalized_score
2016-09-12,0,9,0.0
2016-09-13,1,100,1.0
2016-09-14,0,17,0.0
2016-09-15,0,8,0.0
2016-09-16,0,4,0.0
2016-09-17,0,4,0.0
2016-09-18,0,3,0.0
2016-09-19,0,4,0.0
2016-09-20,1,22,4.545454545454546
2016-09-21,0,26,0.0
2016-09-22,0,7,0.0
2016-09-23,0,4,0.0
2016-09-24,0,4,0.0
2016-09-25,0,3,0.0
2016-09-26,0,4,0.0
2016-09-27,0,11,0.0
2016-09-28,0,18,0.0
2016-09-29,0,5,0.0
2016-09-30,0,3,0.0
2016-10-01,0,3,0.0
2016-10-02,0,2,0.0
2016-10-03,0,3,0.0
2016-10-04,1,18,5.555555555555555
2016-10-05,0,20,0.0
2016-10-06,0,5,0.0
2016-10-07,0,3,0.0
2016-10-08,0,2,0.0
2016-10-09,0,2,0.0
2016-10-10,0,3,0.0
2016-10-11,2,19,10.526315789473683
2016-10-12,0,7,0.0
2016-10-13,0,4,0.0
2016-10-14,0,2,0.0
2016-10-15,0,2,0.0
2016-10-16,0,2,0.0
2016-10-17,0,3,0.0
2016-10-18,3,19,15.789473684210526
2016-10-19,1,5,20.0
2016-10-20,0,3,0.0
2016-10-21,0,3,0.0
2016-10-22,0,2,0.0
2016-10-23,0,2,0.0
2016-10-24,0,2,0.0
2016-10-25,1,15,6.666666666666667
2016-10-26,0,3,0.0
2016-10-27,0,3,0.0
2016-10-28,0,2,0.0
2016-10-29,0,2,0.0
2016-10-30,0,2,0.0
2016-10-31,0,4,0.0
2016-11-01,1,15,6.666666666666667
2016-11-02,0,4,0.0
2016-11-03,0,3,0.0
2016-11-04,0,2,0.0
2016-11-05,0,2,0.0
2016-11-06,0,2,0.0
2016-11-07,0,3,0.0
2016-11-08,1,15,6.666666666666667
2016-11-09,0,2,0.0
2016-11-10,0,2,0.0
2016-11-11,0,2,0.0
2016-11-12,0,2,0.0
2016-11-13,0,2,0.0
2016-11-14,0,3,0.0
2016-11-15,2,19,10.526315789473683
2016-11-16,0,5,0.0
2016-11-17,0,2,0.0
2016-11-18,0,2,0.0
2016-11-19,0,2,0.0
2016-11-20,0,2,0.0
2016-11-21,0,4,0.0
2016-11-22,3,25,12.0
