date,Bonner Bolton,Dancing with the Stars,normalized_score
2017-03-20,1,20,5.0
2017-03-21,19,100,19.0
2017-03-22,7,25,28.000000000000004
2017-03-23,5,13,38.46153846153847
2017-03-24,3,8,37.5
2017-03-25,2,7,28.57142857142857
2017-03-26,2,7,28.57142857142857
2017-03-27,2,9,22.22222222222222
2017-03-28,11,77,14.285714285714285
2017-03-29,2,15,13.333333333333334
2017-03-30,1,8,12.5
2017-03-31,1,6,16.666666666666664
2017-04-01,1,5,20.0
2017-04-02,1,5,20.0
2017-04-03,1,6,16.666666666666664
2017-04-04,5,52,9.615384615384617
2017-04-05,1,11,9.090909090909092
2017-04-06,1,6,16.666666666666664
2017-04-07,1,4,25.0
2017-04-08,1,5,20.0
2017-04-09,1,5,20.0
2017-04-10,1,6,16.666666666666664
2017-04-11,6,52,11.538461538461538
2017-04-12,2,12,16.666666666666664
2017-04-13,1,7,14.285714285714285
2017-04-14,1,6,16.666666666666664
2017-04-15,1,5,20.0
2017-04-16,1,5,20.0
2017-04-17,0,6,0.0
2017-04-18,3,47,6.382978723404255
2017-04-19,1,13,7.6923076923076925
2017-04-20,1,8,12.5
2017-04-21,1,5,20.0
2017-04-22,1,5,20.0
2017-04-23,0,5,0.0
2017-04-24,0,5,0.0
2017-04-25,3,51,5.88235294117647
2017-04-26,1,11,9.090909090909092
2017-04-27,1,6,16.666666666666664
2017-04-28,0,5,0.0
2017-04-29,0,5,0.0
2017-04-30,0,5,0.0
2017-05-01,0,6,0.0
2017-05-02,2,52,3.8461538461538463
2017-05-03,1,13,7.6923076923076925
2017-05-04,1,7,14.285714285714285
2017-05-05,0,5,0.0
2017-05-06,1,5,20.0
2017-05-07,0,5,0.0
2017-05-08,0,6,0.0
2017-05-09,8,46,17.391304347826086
2017-05-10,2,10,20.0
2017-05-11,1,6,16.666666666666664
2017-05-12,1,5,20.0
2017-05-13,1,5,20.0
2017-05-14,1,5,20.0
2017-05-15,1,6,16.666666666666664
2017-05-16,1,56,1.7857142857142856
2017-05-17,1,12,8.333333333333332
2017-05-18,1,6,16.666666666666664
2017-05-19,0,5,0.0
2017-05-20,1,5,20.0
2017-05-21,0,5,0.0
2017-05-22,0,11,0.0
2017-05-23,1,61,1.639344262295082
