date,Chris Kattan,Dancing with the Stars,normalized_score
2017-03-20,1,20,5.0
2017-03-21,18,100,18.0
2017-03-22,3,25,12.0
2017-03-23,1,13,7.6923076923076925
2017-03-24,1,8,12.5
2017-03-25,1,7,14.285714285714285
2017-03-26,1,7,14.285714285714285
2017-03-27,1,9,11.11111111111111
2017-03-28,32,77,41.55844155844156
2017-03-29,6,15,40.0
2017-03-30,2,8,25.0
2017-03-31,1,6,16.666666666666664
2017-04-01,1,5,20.0
2017-04-02,1,5,20.0
2017-04-03,1,6,16.666666666666664
2017-04-04,1,52,1.9230769230769231
2017-04-05,0,11,0.0
2017-04-06,0,6,0.0
2017-04-07,0,4,0.0
2017-04-08,0,5,0.0
2017-04-09,1,5,20.0
2017-04-10,0,6,0.0
2017-04-11,0,52,0.0
2017-04-12,0,12,0.0
2017-04-13,0,7,0.0
2017-04-14,0,6,0.0
2017-04-15,0,5,0.0
2017-04-16,0,5,0.0
2017-04-17,0,6,0.0
2017-04-18,0,47,0.0
2017-04-19,0,13,0.0
2017-04-20,0,8,0.0
2017-04-21,0,5,0.0
2017-04-22,0,5,0.0
2017-04-23,0,5,0.0
2017-04-24,0,5,0.0
2017-04-25,0,51,0.0
2017-04-26,0,11,0.0
2017-04-27,0,6,0.0
2017-04-28,0,5,0.0
2017-04-29,0,5,0.0
2017-04-30,0,5,0.0
2017-05-01,0,6,0.0
2017-05-02,0,52,0.0
2017-05-03,0,13,0.0
2017-05-04,0,7,0.0
2017-05-05,0,5,0.0
2017-05-06,0,5,0.0
2017-05-07,0,5,0.0
2017-05-08,0,6,0.0
2017-05-09,0,46,0.0
2017-05-10,0,10,0.0
2017-05-11,0,6,0.0
2017-05-12,0,5,0.0
2017-05-13,0,5,0.0
2017-05-14,0,5,0.0
2017-05-15,0,6,0.0
2017-05-16,0,56,0.0
2017-05-17,0,12,0.0
2017-05-18,0,6,0.0
2017-05-19,0,5,0.0
2017-05-20,0,5,0.0
2017-05-21,1,5,20.0
2017-05-22,0,11,0.0
2017-05-23,0,61,0.0
