date,David Ross,Dancing with the Stars,normalized_score
2017-03-20,1,20,5.0
2017-03-21,18,100,18.0
2017-03-22,3,25,12.0
2017-03-23,1,13,7.6923076923076925
2017-03-24,1,8,12.5
2017-03-25,1,7,14.285714285714285
2017-03-26,1,7,14.285714285714285
2017-03-27,1,9,11.11111111111111
2017-03-28,7,77,9.090909090909092
2017-03-29,2,15,13.333333333333334
2017-03-30,1,8,12.5
2017-03-31,1,6,16.666666666666664
2017-04-01,1,5,20.0
2017-04-02,1,5,20.0
2017-04-03,1,6,16.666666666666664
2017-04-04,10,52,19.230769230769234
2017-04-05,3,11,27.27272727272727
2017-04-06,1,6,16.666666666666664
2017-04-07,1,4,25.0
2017-04-08,1,5,20.0
2017-04-09,1,5,20.0
2017-04-10,1,6,16.666666666666664
2017-04-11,9,52,17.307692307692307
2017-04-12,2,12,16.666666666666664
2017-04-13,3,7,42.857142857142854
2017-04-14,1,6,16.666666666666664
2017-04-15,1,5,20.0
2017-04-16,1,5,20.0
2017-04-17,1,6,16.666666666666664
2017-04-18,5,47,10.638297872340425
2017-04-19,2,13,15.384615384615385
2017-04-20,1,8,12.5
2017-04-21,1,5,20.0
2017-04-22,1,5,20.0
2017-04-23,1,5,20.0
2017-04-24,1,5,20.0
2017-04-25,4,51,7.8431372549019605
2017-04-26,1,11,9.090909090909092
2017-04-27,1,6,16.666666666666664
2017-04-28,1,5,20.0
2017-04-29,1,5,20.0
2017-04-30,1,5,20.0
2017-05-01,1,6,16.666666666666664
2017-05-02,6,52,11.538461538461538
2017-05-03,3,13,23.076923076923077
2017-05-04,2,7,28.57142857142857
2017-05-05,1,5,20.0
2017-05-06,1,5,20.0
2017-05-07,1,5,20.0
2017-05-08,1,6,16.666666666666664
2017-05-09,7,46,15.217391304347828
2017-05-10,2,10,20.0
2017-05-11,1,6,16.666666666666664
2017-05-12,1,5,20.0
2017-05-13,1,5,20.0
2017-05-14,1,5,20.0
2017-05-15,1,6,16.666666666666664
2017-05-16,10,56,17.857142857142858
2017-05-17,2,12,16.666666666666664
2017-05-18,2,6,33.33333333333333
2017-05-19,1,5,20.0
2017-05-20,1,5,20.0
2017-05-21,1,5,20.0
2017-05-22,1,11,9.090909090909092
2017-05-23,9,61,14.754098360655737
