date,Heather Morris,Dancing with the Stars,normalized_score
2017-03-20,2,20,10.0
2017-03-21,10,98,10.204081632653061
2017-03-22,2,25,8.0
2017-03-23,1,12,8.333333333333332
2017-03-24,1,8,12.5
2017-03-25,1,7,14.285714285714285
2017-03-26,1,6,16.666666666666664
2017-03-27,1,9,11.11111111111111
2017-03-28,8,76,10.526315789473683
2017-03-29,1,15,6.666666666666667
2017-03-30,1,8,12.5
2017-03-31,1,6,16.666666666666664
2017-04-01,1,5,20.0
2017-04-02,0,5,0.0
2017-04-03,0,6,0.0
2017-04-04,3,51,5.88235294117647
2017-04-05,1,11,9.090909090909092
2017-04-06,0,6,0.0
2017-04-07,0,4,0.0
2017-04-08,0,5,0.0
2017-04-09,0,5,0.0
2017-04-10,0,6,0.0
2017-04-11,5,51,9.803921568627452
2017-04-12,1,12,8.333333333333332
2017-04-13,1,6,16.666666666666664
2017-04-14,1,5,20.0
2017-04-15,0,5,0.0
2017-04-16,1,5,20.0
2017-04-17,0,6,0.0
2017-04-18,3,47,6.382978723404255
2017-04-19,1,13,7.6923076923076925
2017-04-20,0,8,0.0
2017-04-21,0,5,0.0
2017-04-22,0,5,0.0
2017-04-23,0,4,0.0
2017-04-24,0,5,0.0
2017-04-25,15,50,30.0
2017-04-26,3,11,27.27272727272727
2017-04-27,1,6,16.666666666666664
2017-04-28,1,5,20.0
2017-04-29,1,5,20.0
2017-04-30,1,4,25.0
2017-05-01,1,6,16.666666666666664
2017-05-02,1,51,1.9607843137254901
2017-05-03,0,13,0.0
2017-05-04,0,7,0.0
2017-05-05,0,5,0.0
2017-05-06,1,5,20.0
2017-05-07,0,5,0.0
2017-05-08,0,6,0.0
2017-05-09,0,45,0.0
2017-05-10,0,10,0.0
2017-05-11,0,5,0.0
2017-05-12,0,4,0.0
2017-05-13,0,5,0.0
2017-05-14,0,4,0.0
2017-05-15,0,6,0.0
2017-05-16,0,55,0.0
2017-05-17,0,12,0.0
2017-05-18,0,6,0.0
2017-05-19,0,5,0.0
2017-05-20,0,5,0.0
2017-05-21,0,5,0.0
2017-05-22,0,11,0.0
2017-05-23,0,60,0.0
