date,Nick Viall,Dancing with the Stars,normalized_score
2017-03-20,3,20,15.0
2017-03-21,8,100,8.0
2017-03-22,5,25,20.0
2017-03-23,3,13,23.076923076923077
2017-03-24,2,8,25.0
2017-03-25,2,7,28.57142857142857
2017-03-26,2,7,28.57142857142857
2017-03-27,2,9,22.22222222222222
2017-03-28,3,77,3.896103896103896
2017-03-29,2,15,13.333333333333334
2017-03-30,2,8,25.0
2017-03-31,1,6,16.666666666666664
2017-04-01,1,5,20.0
2017-04-02,1,5,20.0
2017-04-03,1,6,16.666666666666664
2017-04-04,3,52,5.769230769230769
2017-04-05,1,11,9.090909090909092
2017-04-06,1,6,16.666666666666664
2017-04-07,1,4,25.0
2017-04-08,1,5,20.0
2017-04-09,1,5,20.0
2017-04-10,1,6,16.666666666666664
2017-04-11,4,52,7.6923076923076925
2017-04-12,2,12,16.666666666666664
2017-04-13,1,7,14.285714285714285
2017-04-14,1,6,16.666666666666664
2017-04-15,1,5,20.0
2017-04-16,1,5,20.0
2017-04-17,1,6,16.666666666666664
2017-04-18,3,47,6.382978723404255
2017-04-19,1,13,7.6923076923076925
2017-04-20,1,8,12.5
2017-04-21,1,5,20.0
2017-04-22,1,5,20.0
2017-04-23,1,5,20.0
2017-04-24,1,5,20.0
2017-04-25,3,51,5.88235294117647
2017-04-26,1,11,9.090909090909092
2017-04-27,1,6,16.666666666666664
2017-04-28,1,5,20.0
2017-04-29,1,5,20.0
2017-04-30,1,5,20.0
2017-05-01,1,6,16.666666666666664
2017-05-02,3,52,5.769230769230769
2017-05-03,1,13,7.6923076923076925
2017-05-04,1,7,14.285714285714285
2017-05-05,1,5,20.0
2017-05-06,1,5,20.0
2017-05-07,1,5,20.0
2017-05-08,1,6,16.666666666666664
2017-05-09,1,46,2.1739130434782608
2017-05-10,1,10,10.0
2017-05-11,0,6,0.0
2017-05-12,1,5,20.0
2017-05-13,1,5,20.0
2017-05-14,1,5,20.0
2017-05-15,1,6,16.666666666666664
2017-05-16,1,56,1.7857142857142856
2017-05-17,1,12,8.333333333333332
2017-05-18,1,6,16.666666666666664
2017-05-19,1,5,20.0
2017-05-20,1,5,20.0
2017-05-21,1,5,20.0
2017-05-22,1,11,9.090909090909092
2017-05-23,3,61,4.918032786885246
