date,Rashad Jennings,Dancing with the Stars,normalized_score
2017-03-20,1,20,5.0
2017-03-21,9,100,9.0
2017-03-22,2,25,8.0
2017-03-23,1,13,7.6923076923076925
2017-03-24,0,8,0.0
2017-03-25,0,7,0.0
2017-03-26,0,7,0.0
2017-03-27,0,9,0.0
2017-03-28,7,77,9.090909090909092
2017-03-29,1,15,6.666666666666667
2017-03-30,1,8,12.5
2017-03-31,1,6,16.666666666666664
2017-04-01,0,5,0.0
2017-04-02,0,5,0.0
2017-04-03,0,6,0.0
2017-04-04,3,52,5.769230769230769
2017-04-05,1,11,9.090909090909092
2017-04-06,0,6,0.0
2017-04-07,0,4,0.0
2017-04-08,0,5,0.0
2017-04-09,0,5,0.0
2017-04-10,0,6,0.0
2017-04-11,17,52,32.69230769230769
2017-04-12,3,12,25.0
2017-04-13,2,7,28.57142857142857
2017-04-14,1,6,16.666666666666664
2017-04-15,1,5,20.0
2017-04-16,1,5,20.0
2017-04-17,1,6,16.666666666666664
2017-04-18,4,47,8.51063829787234
2017-04-19,1,13,7.6923076923076925
2017-04-20,1,8,12.5
2017-04-21,0,5,0.0
2017-04-22,0,5,0.0
2017-04-23,0,5,0.0
2017-04-24,0,5,0.0
2017-04-25,6,51,11.76470588235294
2017-04-26,1,11,9.090909090909092
2017-04-27,1,6,16.666666666666664
2017-04-28,1,5,20.0
2017-04-29,1,5,20.0
2017-04-30,1,5,20.0
2017-05-01,1,6,16.666666666666664
2017-05-02,3,52,5.769230769230769
2017-05-03,1,13,7.6923076923076925
2017-05-04,0,7,0.0
2017-05-05,0,5,0.0
2017-05-06,1,5,20.0
2017-05-07,0,5,0.0
2017-05-08,0,6,0.0
2017-05-09,5,46,10.869565217391305
2017-05-10,1,10,10.0
2017-05-11,0,6,0.0
2017-05-12,0,5,0.0
2017-05-13,0,5,0.0
2017-05-14,0,5,0.0
2017-05-15,1,6,16.666666666666664
2017-05-16,8,56,14.285714285714285
2017-05-17,2,12,16.666666666666664
2017-05-18,1,6,16.666666666666664
2017-05-19,1,5,20.0
2017-05-20,1,5,20.0
2017-05-21,1,5,20.0
2017-05-22,1,11,9.090909090909092
2017-05-23,8,61,13.114754098360656
