date,Simone Biles,Dancing with the Stars,normalized_score
2017-03-20,2,20,10.0
2017-03-21,9,100,9.0
2017-03-22,3,25,12.0
2017-03-23,1,13,7.6923076923076925
2017-03-24,1,8,12.5
2017-03-25,1,7,14.285714285714285
2017-03-26,1,7,14.285714285714285
2017-03-27,1,9,11.11111111111111
2017-03-28,5,77,6.493506493506493
2017-03-29,2,15,13.333333333333334
2017-03-30,1,8,12.5
2017-03-31,1,6,16.666666666666664
2017-04-01,1,5,20.0
2017-04-02,1,5,20.0
2017-04-03,1,6,16.666666666666664
2017-04-04,3,52,5.769230769230769
2017-04-05,1,11,9.090909090909092
2017-04-06,1,6,16.666666666666664
2017-04-07,1,4,25.0
2017-04-08,1,5,20.0
2017-04-09,1,5,20.0
2017-04-10,1,6,16.666666666666664
2017-04-11,11,52,21.153846153846153
2017-04-12,3,12,25.0
2017-04-13,2,7,28.57142857142857
2017-04-14,2,6,33.33333333333333
2017-04-15,2,5,40.0
2017-04-16,2,5,40.0
2017-04-17,2,6,33.33333333333333
2017-04-18,6,47,12.76595744680851
2017-04-19,3,13,23.076923076923077
2017-04-20,2,8,25.0
2017-04-21,2,5,40.0
2017-04-22,1,5,20.0
2017-04-23,1,5,20.0
2017-04-24,1,5,20.0
2017-04-25,6,51,11.76470588235294
2017-04-26,2,11,18.181818181818183
2017-04-27,1,6,16.666666666666664
2017-04-28,1,5,20.0
2017-04-29,1,5,20.0
2017-04-30,1,5,20.0
2017-05-01,1,6,16.666666666666664
2017-05-02,4,52,7.6923076923076925
2017-05-03,1,13,7.6923076923076925
2017-05-04,1,7,14.285714285714285
2017-05-05,1,5,20.0
2017-05-06,1,5,20.0
2017-05-07,1,5,20.0
2017-05-08,1,6,16.666666666666664
2017-05-09,7,46,15.217391304347828
2017-05-10,5,10,50.0
2017-05-11,3,6,50.0
2017-05-12,2,5,40.0
2017-05-13,1,5,20.0
2017-05-14,1,5,20.0
2017-05-15,1,6,16.666666666666664
2017-05-16,16,56,28.57142857142857
2017-05-17,5,12,41.66666666666667
2017-05-18,3,6,50.0
2017-05-19,2,5,40.0
2017-05-20,2,5,40.0
2017-05-21,1,5,20.0
2017-05-22,1,11,9.090909090909092
2017-05-23,2,61,3.278688524590164
