date,Debbie Gibson,Dancing with the Stars,normalized_score
2017-09-18,2,34,5.88235294117647
2017-09-19,31,100,31.0
2017-09-20,5,22,22.727272727272727
2017-09-21,2,11,18.181818181818183
2017-09-22,2,9,22.22222222222222
2017-09-23,2,8,25.0
2017-09-24,1,7,14.285714285714285
2017-09-25,1,13,7.6923076923076925
2017-09-26,16,73,21.91780821917808
2017-09-27,26,84,30.952380952380953
2017-09-28,5,18,27.77777777777778
2017-09-29,3,9,33.33333333333333
2017-09-30,3,8,37.5
2017-10-01,2,8,25.0
2017-10-02,1,9,11.11111111111111
2017-10-03,2,65,3.076923076923077
2017-10-04,1,21,4.761904761904762
2017-10-05,1,10,10.0
2017-10-06,1,8,12.5
2017-10-07,1,7,14.285714285714285
2017-10-08,1,7,14.285714285714285
2017-10-09,1,10,10.0
2017-10-10,1,67,1.4925373134328357
2017-10-11,1,16,6.25
2017-10-12,1,9,11.11111111111111
2017-10-13,1,7,14.285714285714285
2017-10-14,1,7,14.285714285714285
2017-10-15,1,7,14.285714285714285
2017-10-16,0,8,0.0
2017-10-17,1,58,1.7241379310344827
2017-10-18,1,13,7.6923076923076925
2017-10-19,0,8,0.0
2017-10-20,1,6,16.666666666666664
2017-10-21,1,6,16.666666666666664
2017-10-22,0,6,0.0
2017-10-23,0,8,0.0
2017-10-24,0,58,0.0
2017-10-25,0,12,0.0
2017-10-26,0,7,0.0
2017-10-27,0,5,0.0
2017-10-28,1,5,20.0
2017-10-29,1,5,20.0
2017-10-30,0,8,0.0
2017-10-31,0,53,0.0
2017-11-01,0,12,0.0
2017-11-02,0,7,0.0
2017-11-03,0,6,0.0
2017-11-04,0,6,0.0
2017-11-05,0,6,0.0
2017-11-06,0,6,0.0
2017-11-07,0,56,0.0
2017-11-08,1,13,7.6923076923076925
2017-11-09,0,8,0.0
2017-11-10,0,6,0.0
2017-11-11,1,6,16.666666666666664
2017-11-12,1,6,16.666666666666664
2017-11-13,0,9,0.0
2017-11-14,1,67,1.4925373134328357
2017-11-15,0,15,0.0
2017-11-16,0,8,0.0
2017-11-17,0,7,0.0
2017-11-18,1,8,12.5
2017-11-19,0,10,0.0
2017-11-20,0,12,0.0
2017-11-21,0,87,0.0
