date,Frankie Muniz,Dancing with the Stars,normalized_score
2017-09-18,1,34,2.941176470588235
2017-09-19,56,100,56.00000000000001
2017-09-20,11,22,50.0
2017-09-21,4,11,36.36363636363637
2017-09-22,3,9,33.33333333333333
2017-09-23,3,8,37.5
2017-09-24,3,7,42.857142857142854
2017-09-25,2,13,15.384615384615385
2017-09-26,14,73,19.17808219178082
2017-09-27,15,84,17.857142857142858
2017-09-28,4,18,22.22222222222222
2017-09-29,2,9,22.22222222222222
2017-09-30,3,8,37.5
2017-10-01,2,8,25.0
2017-10-02,2,9,22.22222222222222
2017-10-03,11,65,16.923076923076923
2017-10-04,2,21,9.523809523809524
2017-10-05,2,10,20.0
2017-10-06,1,8,12.5
2017-10-07,1,7,14.285714285714285
2017-10-08,1,7,14.285714285714285
2017-10-09,1,10,10.0
2017-10-10,19,67,28.35820895522388
2017-10-11,6,16,37.5
2017-10-12,5,9,55.55555555555556
2017-10-13,4,7,57.14285714285714
2017-10-14,4,7,57.14285714285714
2017-10-15,3,7,42.857142857142854
2017-10-16,2,8,25.0
2017-10-17,10,58,17.24137931034483
2017-10-18,3,13,23.076923076923077
2017-10-19,2,8,25.0
2017-10-20,1,6,16.666666666666664
2017-10-21,2,6,33.33333333333333
2017-10-22,1,6,16.666666666666664
2017-10-23,1,8,12.5
2017-10-24,6,58,10.344827586206897
2017-10-25,2,12,16.666666666666664
2017-10-26,1,7,14.285714285714285
2017-10-27,1,5,20.0
2017-10-28,1,5,20.0
2017-10-29,1,5,20.0
2017-10-30,1,8,12.5
2017-10-31,6,53,11.320754716981133
2017-11-01,1,12,8.333333333333332
2017-11-02,1,7,14.285714285714285
2017-11-03,1,6,16.666666666666664
2017-11-04,1,6,16.666666666666664
2017-11-05,1,6,16.666666666666664
2017-11-06,1,6,16.666666666666664
2017-11-07,9,56,16.071428571428573
2017-11-08,2,13,15.384615384615385
2017-11-09,1,8,12.5
2017-11-10,1,6,16.666666666666664
2017-11-11,1,6,16.666666666666664
2017-11-12,1,6,16.666666666666664
2017-11-13,1,9,11.11111111111111
2017-11-14,11,67,16.417910447761194
2017-11-15,2,15,13.333333333333334
2017-11-16,1,8,12.5
2017-11-17,1,7,14.285714285714285
2017-11-18,1,8,12.5
2017-11-19,1,10,10.0
2017-11-20,1,12,8.333333333333332
2017-11-21,20,87,22.988505747126435
