date,Jordan Fisher,Dancing with the Stars,normalized_score
2017-09-18,1,34,2.941176470588235
2017-09-19,19,100,19.0
2017-09-20,4,22,18.181818181818183
2017-09-21,2,11,18.181818181818183
2017-09-22,1,9,11.11111111111111
2017-09-23,1,8,12.5
2017-09-24,1,7,14.285714285714285
2017-09-25,1,13,7.6923076923076925
2017-09-26,8,73,10.95890410958904
2017-09-27,11,84,13.095238095238097
2017-09-28,3,18,16.666666666666664
2017-09-29,1,9,11.11111111111111
2017-09-30,2,8,25.0
2017-10-01,1,8,12.5
2017-10-02,1,9,11.11111111111111
2017-10-03,6,65,9.230769230769232
2017-10-04,2,21,9.523809523809524
2017-10-05,1,10,10.0
2017-10-06,1,8,12.5
2017-10-07,1,7,14.285714285714285
2017-10-08,1,7,14.285714285714285
2017-10-09,1,10,10.0
2017-10-10,22,67,32.83582089552239
2017-10-11,6,16,37.5
2017-10-12,3,9,33.33333333333333
2017-10-13,2,7,28.57142857142857
2017-10-14,2,7,28.57142857142857
2017-10-15,2,7,28.57142857142857
2017-10-16,1,8,12.5
2017-10-17,14,58,24.137931034482758
2017-10-18,4,13,30.76923076923077
2017-10-19,3,8,37.5
2017-10-20,2,6,33.33333333333333
2017-10-21,2,6,33.33333333333333
2017-10-22,1,6,16.666666666666664
2017-10-23,4,8,50.0
2017-10-24,9,58,15.517241379310345
2017-10-25,2,12,16.666666666666664
2017-10-26,1,7,14.285714285714285
2017-10-27,1,5,20.0
2017-10-28,1,5,20.0
2017-10-29,1,5,20.0
2017-10-30,1,8,12.5
2017-10-31,5,53,9.433962264150944
2017-11-01,1,12,8.333333333333332
2017-11-02,1,7,14.285714285714285
2017-11-03,1,6,16.666666666666664
2017-11-04,1,6,16.666666666666664
2017-11-05,1,6,16.666666666666664
2017-11-06,1,6,16.666666666666664
2017-11-07,9,56,16.071428571428573
2017-11-08,3,13,23.076923076923077
2017-11-09,1,8,12.5
2017-11-10,1,6,16.666666666666664
2017-11-11,2,6,33.33333333333333
2017-11-12,1,6,16.666666666666664
2017-11-13,1,9,11.11111111111111
2017-11-14,14,67,20.8955223880597
2017-11-15,4,15,26.666666666666668
2017-11-16,2,8,25.0
2017-11-17,1,7,14.285714285714285
2017-11-18,2,8,25.0
2017-11-19,1,10,10.0
2017-11-20,1,12,8.333333333333332
2017-11-21,23,87,26.436781609195403
