date,Nick Lachey,Dancing with the Stars,normalized_score
2017-09-18,2,34,5.88235294117647
2017-09-19,14,100,14.000000000000002
2017-09-20,3,22,13.636363636363635
2017-09-21,2,11,18.181818181818183
2017-09-22,1,9,11.11111111111111
2017-09-23,1,8,12.5
2017-09-24,1,7,14.285714285714285
2017-09-25,1,13,7.6923076923076925
2017-09-26,6,73,8.21917808219178
2017-09-27,6,84,7.142857142857142
2017-09-28,2,18,11.11111111111111
2017-09-29,1,9,11.11111111111111
2017-09-30,1,8,12.5
2017-10-01,1,8,12.5
2017-10-02,1,9,11.11111111111111
2017-10-03,5,65,7.6923076923076925
2017-10-04,1,21,4.761904761904762
2017-10-05,1,10,10.0
2017-10-06,1,8,12.5
2017-10-07,1,7,14.285714285714285
2017-10-08,1,7,14.285714285714285
2017-10-09,1,10,10.0
2017-10-10,14,67,20.8955223880597
2017-10-11,3,16,18.75
2017-10-12,1,9,11.11111111111111
2017-10-13,1,7,14.285714285714285
2017-10-14,1,7,14.285714285714285
2017-10-15,1,7,14.285714285714285
2017-10-16,1,8,12.5
2017-10-17,5,58,8.620689655172415
2017-10-18,2,13,15.384615384615385
2017-10-19,1,8,12.5
2017-10-20,1,6,16.666666666666664
2017-10-21,1,6,16.666666666666664
2017-10-22,1,6,16.666666666666664
2017-10-23,1,8,12.5
2017-10-24,6,58,10.344827586206897
2017-10-25,1,12,8.333333333333332
2017-10-26,1,7,14.285714285714285
2017-10-27,1,5,20.0
2017-10-28,1,5,20.0
2017-10-29,1,5,20.0
2017-10-30,1,8,12.5
2017-10-31,2,53,3.7735849056603774
2017-11-01,1,12,8.333333333333332
2017-11-02,1,7,14.285714285714285
2017-11-03,1,6,16.666666666666664
2017-11-04,1,6,16.666666666666664
2017-11-05,1,6,16.666666666666664
2017-11-06,0,6,0.0
2017-11-07,1,56,1.7857142857142856
2017-11-08,0,13,0.0
2017-11-09,1,8,12.5
2017-11-10,1,6,16.666666666666664
2017-11-11,1,6,16.666666666666664
2017-11-12,1,6,16.666666666666664
2017-11-13,0,9,0.0
2017-11-14,1,67,1.4925373134328357
2017-11-15,0,15,0.0
2017-11-16,1,8,12.5
2017-11-17,1,7,14.285714285714285
2017-11-18,1,8,12.5
2017-11-19,1,10,10.0
2017-11-20,1,12,8.333333333333332
2017-11-21,1,87,1.1494252873563218
