date,Nikki Bella,Dancing with the Stars,normalized_score
2017-09-18,2,34,5.88235294117647
2017-09-19,12,100,12.0
2017-09-20,4,22,18.181818181818183
2017-09-21,3,11,27.27272727272727
2017-09-22,3,9,33.33333333333333
2017-09-23,2,8,25.0
2017-09-24,2,7,28.57142857142857
2017-09-25,2,13,15.384615384615385
2017-09-26,6,73,8.21917808219178
2017-09-27,6,84,7.142857142857142
2017-09-28,5,18,27.77777777777778
2017-09-29,2,9,22.22222222222222
2017-09-30,3,8,37.5
2017-10-01,2,8,25.0
2017-10-02,2,9,22.22222222222222
2017-10-03,7,65,10.76923076923077
2017-10-04,3,21,14.285714285714285
2017-10-05,3,10,30.0
2017-10-06,2,8,25.0
2017-10-07,2,7,28.57142857142857
2017-10-08,2,7,28.57142857142857
2017-10-09,2,10,20.0
2017-10-10,7,67,10.44776119402985
2017-10-11,3,16,18.75
2017-10-12,3,9,33.33333333333333
2017-10-13,2,7,28.57142857142857
2017-10-14,3,7,42.857142857142854
2017-10-15,2,7,28.57142857142857
2017-10-16,2,8,25.0
2017-10-17,6,58,10.344827586206897
2017-10-18,3,13,23.076923076923077
2017-10-19,3,8,37.5
2017-10-20,2,6,33.33333333333333
2017-10-21,3,6,50.0
2017-10-22,2,6,33.33333333333333
2017-10-23,2,8,25.0
2017-10-24,5,58,8.620689655172415
2017-10-25,3,12,25.0
2017-10-26,6,7,85.71428571428571
2017-10-27,4,5,80.0
2017-10-28,3,5,60.0
2017-10-29,3,5,60.0
2017-10-30,2,8,25.0
2017-10-31,6,53,11.320754716981133
2017-11-01,4,12,33.33333333333333
2017-11-02,3,7,42.857142857142854
2017-11-03,2,6,33.33333333333333
2017-11-04,2,6,33.33333333333333
2017-11-05,2,6,33.33333333333333
2017-11-06,2,6,33.33333333333333
2017-11-07,3,56,5.357142857142857
2017-11-08,2,13,15.384615384615385
2017-11-09,2,8,25.0
2017-11-10,2,6,33.33333333333333
2017-11-11,2,6,33.33333333333333
2017-11-12,2,6,33.33333333333333
2017-11-13,1,9,11.11111111111111
2017-11-14,2,67,2.9850746268656714
2017-11-15,2,15,13.333333333333334
2017-11-16,2,8,25.0
2017-11-17,1,7,14.285714285714285
2017-11-18,2,8,25.0
2017-11-19,2,10,20.0
2017-11-20,2,12,16.666666666666664
2017-11-21,2,87,2.2988505747126435
