date,Terrell Owens,Dancing with the Stars,normalized_score
2017-09-18,1,34,2.941176470588235
2017-09-19,9,100,9.0
2017-09-20,1,22,4.545454545454546
2017-09-21,1,11,9.090909090909092
2017-09-22,1,9,11.11111111111111
2017-09-23,1,8,12.5
2017-09-24,2,7,28.57142857142857
2017-09-25,1,13,7.6923076923076925
2017-09-26,5,73,6.8493150684931505
2017-09-27,5,84,5.952380952380952
2017-09-28,1,18,5.555555555555555
2017-09-29,1,9,11.11111111111111
2017-09-30,1,8,12.5
2017-10-01,1,8,12.5
2017-10-02,1,9,11.11111111111111
2017-10-03,3,65,4.615384615384616
2017-10-04,1,21,4.761904761904762
2017-10-05,0,10,0.0
2017-10-06,1,8,12.5
2017-10-07,1,7,14.285714285714285
2017-10-08,2,7,28.57142857142857
2017-10-09,4,10,40.0
2017-10-10,8,67,11.940298507462686
2017-10-11,2,16,12.5
2017-10-12,1,9,11.11111111111111
2017-10-13,1,7,14.285714285714285
2017-10-14,1,7,14.285714285714285
2017-10-15,1,7,14.285714285714285
2017-10-16,1,8,12.5
2017-10-17,4,58,6.896551724137931
2017-10-18,1,13,7.6923076923076925
2017-10-19,1,8,12.5
2017-10-20,1,6,16.666666666666664
2017-10-21,0,6,0.0
2017-10-22,1,6,16.666666666666664
2017-10-23,1,8,12.5
2017-10-24,4,58,6.896551724137931
2017-10-25,1,12,8.333333333333332
2017-10-26,1,7,14.285714285714285
2017-10-27,1,5,20.0
2017-10-28,0,5,0.0
2017-10-29,1,5,20.0
2017-10-30,0,8,0.0
2017-10-31,3,53,5.660377358490567
2017-11-01,1,12,8.333333333333332
2017-11-02,1,7,14.285714285714285
2017-11-03,1,6,16.666666666666664
2017-11-04,1,6,16.666666666666664
2017-11-05,1,6,16.666666666666664
2017-11-06,1,6,16.666666666666664
2017-11-07,6,56,10.714285714285714
2017-11-08,1,13,7.6923076923076925
2017-11-09,1,8,12.5
2017-11-10,1,6,16.666666666666664
2017-11-11,1,6,16.666666666666664
2017-11-12,1,6,16.666666666666664
2017-11-13,1,9,11.11111111111111
2017-11-14,0,67,0.0
2017-11-15,0,15,0.0
2017-11-16,1,8,12.5
2017-11-17,1,7,14.285714285714285
2017-11-18,1,8,12.5
2017-11-19,1,10,10.0
2017-11-20,1,12,8.333333333333332
2017-11-21,1,87,1.1494252873563218
