date,Vanessa Lachey,Dancing with the Stars,normalized_score
2017-09-18,1,34,2.941176470588235
2017-09-19,12,100,12.0
2017-09-20,2,22,9.090909090909092
2017-09-21,1,11,9.090909090909092
2017-09-22,1,9,11.11111111111111
2017-09-23,1,8,12.5
2017-09-24,1,7,14.285714285714285
2017-09-25,1,13,7.6923076923076925
2017-09-26,7,73,9.58904109589041
2017-09-27,6,84,7.142857142857142
2017-09-28,2,18,11.11111111111111
2017-09-29,1,9,11.11111111111111
2017-09-30,1,8,12.5
2017-10-01,1,8,12.5
2017-10-02,1,9,11.11111111111111
2017-10-03,8,65,12.307692307692308
2017-10-04,6,21,28.57142857142857
2017-10-05,3,10,30.0
2017-10-06,1,8,12.5
2017-10-07,1,7,14.285714285714285
2017-10-08,1,7,14.285714285714285
2017-10-09,1,10,10.0
2017-10-10,13,67,19.402985074626866
2017-10-11,3,16,18.75
2017-10-12,1,9,11.11111111111111
2017-10-13,1,7,14.285714285714285
2017-10-14,1,7,14.285714285714285
2017-10-15,1,7,14.285714285714285
2017-10-16,0,8,0.0
2017-10-17,4,58,6.896551724137931
2017-10-18,1,13,7.6923076923076925
2017-10-19,1,8,12.5
2017-10-20,1,6,16.666666666666664
2017-10-21,1,6,16.666666666666664
2017-10-22,1,6,16.666666666666664
2017-10-23,1,8,12.5
2017-10-24,4,58,6.896551724137931
2017-10-25,1,12,8.333333333333332
2017-10-26,1,7,14.285714285714285
2017-10-27,1,5,20.0
2017-10-28,1,5,20.0
2017-10-29,1,5,20.0
2017-10-30,1,8,12.5
2017-10-31,3,53,5.660377358490567
2017-11-01,1,12,8.333333333333332
2017-11-02,1,7,14.285714285714285
2017-11-03,0,6,0.0
2017-11-04,1,6,16.666666666666664
2017-11-05,1,6,16.666666666666664
2017-11-06,0,6,0.0
2017-11-07,1,56,1.7857142857142856
2017-11-08,0,13,0.0
2017-11-09,1,8,12.5
2017-11-10,1,6,16.666666666666664
2017-11-11,1,6,16.666666666666664
2017-11-12,0,6,0.0
2017-11-13,0,9,0.0
2017-11-14,1,67,1.4925373134328357
2017-11-15,0,15,0.0
2017-11-16,0,8,0.0
2017-11-17,0,7,0.0
2017-11-18,0,8,0.0
2017-11-19,0,10,0.0
2017-11-20,0,12,0.0
2017-11-21,0,87,0.0
