date,Victoria Arlen,Dancing with the Stars,normalized_score
2017-09-18,1,34,2.941176470588235
2017-09-19,19,100,19.0
2017-09-20,4,22,18.181818181818183
2017-09-21,1,11,9.090909090909092
2017-09-22,1,9,11.11111111111111
2017-09-23,1,8,12.5
2017-09-24,1,7,14.285714285714285
2017-09-25,1,13,7.6923076923076925
2017-09-26,9,73,12.32876712328767
2017-09-27,9,84,10.714285714285714
2017-09-28,2,18,11.11111111111111
2017-09-29,1,9,11.11111111111111
2017-09-30,1,8,12.5
2017-10-01,1,8,12.5
2017-10-02,2,9,22.22222222222222
2017-10-03,7,65,10.76923076923077
2017-10-04,1,21,4.761904761904762
2017-10-05,1,10,10.0
2017-10-06,0,8,0.0
2017-10-07,1,7,14.285714285714285
2017-10-08,0,7,0.0
2017-10-09,0,10,0.0
2017-10-10,6,67,8.955223880597014
2017-10-11,1,16,6.25
2017-10-12,1,9,11.11111111111111
2017-10-13,1,7,14.285714285714285
2017-10-14,1,7,14.285714285714285
2017-10-15,1,7,14.285714285714285
2017-10-16,0,8,0.0
2017-10-17,4,58,6.896551724137931
2017-10-18,1,13,7.6923076923076925
2017-10-19,0,8,0.0
2017-10-20,0,6,0.0
2017-10-21,0,6,0.0
2017-10-22,0,6,0.0
2017-10-23,0,8,0.0
2017-10-24,4,58,6.896551724137931
2017-10-25,1,12,8.333333333333332
2017-10-26,0,7,0.0
2017-10-27,0,5,0.0
2017-10-28,0,5,0.0
2017-10-29,0,5,0.0
2017-10-30,0,8,0.0
2017-10-31,2,53,3.7735849056603774
2017-11-01,0,12,0.0
2017-11-02,0,7,0.0
2017-11-03,0,6,0.0
2017-11-04,0,6,0.0
2017-11-05,1,6,16.666666666666664
2017-11-06,0,6,0.0
2017-11-07,5,56,8.928571428571429
2017-11-08,1,13,7.6923076923076925
2017-11-09,0,8,0.0
2017-11-10,0,6,0.0
2017-11-11,0,6,0.0
2017-11-12,0,6,0.0
2017-11-13,0,9,0.0
2017-11-14,14,67,20.8955223880597
2017-11-15,3,15,20.0
2017-11-16,1,8,12.5
2017-11-17,0,7,0.0
2017-11-18,0,8,0.0
2017-11-19,1,10,10.0
2017-11-20,0,12,0.0
2017-11-21,1,87,1.1494252873563218
