date,Johnny Damon,Dancing with the Stars,normalized_score
2018-04-30,1,25,4.0
2018-05-01,12,100,12.0
2018-05-02,2,23,8.695652173913043
2018-05-03,1,12,8.333333333333332
2018-05-04,1,9,11.11111111111111
2018-05-05,1,9,11.11111111111111
2018-05-06,1,9,11.11111111111111
2018-05-07,0,12,0.0
2018-05-08,1,65,1.5384615384615385
2018-05-09,0,14,0.0
2018-05-10,0,8,0.0
2018-05-11,0,6,0.0
2018-05-12,0,7,0.0
2018-05-13,0,8,0.0
2018-05-14,0,9,0.0
2018-05-15,0,63,0.0
2018-05-16,0,13,0.0
2018-05-17,0,7,0.0
2018-05-18,0,5,0.0
2018-05-19,0,5,0.0
2018-05-20,1,7,14.285714285714285
2018-05-21,0,13,0.0
