date,Tonya Harding,Dancing with the Stars,normalized_score
2018-04-30,6,25,24.0
2018-05-01,68,100,68.0
2018-05-02,15,23,65.21739130434783
2018-05-03,8,12,66.66666666666666
2018-05-04,7,9,77.77777777777779
2018-05-05,8,9,88.88888888888889
2018-05-06,8,9,88.88888888888889
2018-05-07,6,12,50.0
2018-05-08,21,65,32.30769230769231
2018-05-09,6,14,42.857142857142854
2018-05-10,4,8,50.0
2018-05-11,5,6,83.33333333333334
2018-05-12,7,7,100.0
2018-05-13,9,8,112.5
2018-05-14,5,9,55.55555555555556
2018-05-15,32,63,50.79365079365079
2018-05-16,7,13,53.84615384615385
2018-05-17,4,7,57.14285714285714
2018-05-18,4,5,80.0
2018-05-19,5,5,100.0
2018-05-20,7,7,100.0
2018-05-21,5,13,38.46153846153847
