date,Alexis Ren,Dancing with the Stars,normalized_score
2018-09-24,2,26,7.6923076923076925
2018-09-25,11,100,11.0
2018-09-26,12,86,13.953488372093023
2018-09-27,3,17,17.647058823529413
2018-09-28,2,10,20.0
2018-09-29,2,10,20.0
2018-09-30,2,10,20.0
2018-10-01,3,11,27.27272727272727
2018-10-02,8,56,14.285714285714285
2018-10-03,8,55,14.545454545454545
2018-10-04,2,12,16.666666666666664
2018-10-05,1,9,11.11111111111111
2018-10-06,2,8,25.0
2018-10-07,1,12,8.333333333333332
2018-10-08,1,35,2.857142857142857
2018-10-09,9,62,14.516129032258066
2018-10-10,2,16,12.5
2018-10-11,1,9,11.11111111111111
2018-10-12,1,6,16.666666666666664
2018-10-13,1,6,16.666666666666664
2018-10-14,1,9,11.11111111111111
2018-10-15,1,20,5.0
2018-10-16,5,47,10.638297872340425
2018-10-17,2,12,16.666666666666664
2018-10-18,1,8,12.5
2018-10-19,1,6,16.666666666666664
2018-10-20,1,6,16.666666666666664
2018-10-21,1,7,14.285714285714285
2018-10-22,1,23,4.3478260869565215
2018-10-23,11,48,22.916666666666664
2018-10-24,3,12,25.0
2018-10-25,2,7,28.57142857142857
2018-10-26,1,6,16.666666666666664
2018-10-27,2,6,33.33333333333333
2018-10-28,1,6,16.666666666666664
2018-10-29,2,16,12.5
2018-10-30,16,51,31.372549019607842
2018-10-31,4,11,36.36363636363637
2018-11-01,4,5,80.0
2018-11-02,2,6,33.33333333333333
2018-11-03,2,5,40.0
2018-11-04,2,6,33.33333333333333
2018-11-05,2,9,22.22222222222222
2018-11-06,16,55,29.09090909090909
2018-11-07,6,12,50.0
2018-11-08,3,7,42.857142857142854
2018-11-09,3,5,60.0
2018-11-10,2,5,40.0
2018-11-11,2,6,33.33333333333333
2018-11-12,2,15,13.333333333333334
2018-11-13,12,67,17.91044776119403
2018-11-14,3,16,18.75
2018-11-15,2,8,25.0
2018-11-16,2,6,33.33333333333333
2018-11-17,2,8,25.0
2018-11-18,2,7,28.57142857142857
2018-11-19,2,23,8.695652173913043
