date,Bobby Bones,Dancing with the Stars,normalized_score
2018-09-24,4,26,15.384615384615385
2018-09-25,22,100,22.0
2018-09-26,11,86,12.790697674418606
2018-09-27,3,17,17.647058823529413
2018-09-28,3,10,30.0
2018-09-29,2,10,20.0
2018-09-30,2,10,20.0
2018-10-01,2,11,18.181818181818183
2018-10-02,11,56,19.642857142857142
2018-10-03,8,55,14.545454545454545
2018-10-04,3,12,25.0
2018-10-05,2,9,22.22222222222222
2018-10-06,2,8,25.0
2018-10-07,1,12,8.333333333333332
2018-10-08,2,35,5.714285714285714
2018-10-09,14,62,22.58064516129032
2018-10-10,4,16,25.0
2018-10-11,2,9,22.22222222222222
2018-10-12,2,6,33.33333333333333
2018-10-13,1,6,16.666666666666664
2018-10-14,1,9,11.11111111111111
2018-10-15,2,20,10.0
2018-10-16,8,47,17.02127659574468
2018-10-17,3,12,25.0
2018-10-18,2,8,25.0
2018-10-19,2,6,33.33333333333333
2018-10-20,1,6,16.666666666666664
2018-10-21,1,7,14.285714285714285
2018-10-22,2,23,8.695652173913043
2018-10-23,7,48,14.583333333333334
2018-10-24,3,12,25.0
2018-10-25,2,7,28.57142857142857
2018-10-26,2,6,33.33333333333333
2018-10-27,1,6,16.666666666666664
2018-10-28,1,6,16.666666666666664
2018-10-29,2,16,12.5
2018-10-30,6,51,11.76470588235294
2018-10-31,3,11,27.27272727272727
2018-11-01,2,5,40.0
2018-11-02,2,6,33.33333333333333
2018-11-03,1,5,20.0
2018-11-04,1,6,16.666666666666664
2018-11-05,2,9,22.22222222222222
2018-11-06,11,55,20.0
2018-11-07,4,12,33.33333333333333
2018-11-08,3,7,42.857142857142854
2018-11-09,2,5,40.0
2018-11-10,1,5,20.0
2018-11-11,1,6,16.666666666666664
2018-11-12,1,15,6.666666666666667
2018-11-13,14,67,20.8955223880597
2018-11-14,4,16,25.0
2018-11-15,8,8,100.0
2018-11-16,3,6,50.0
2018-11-17,2,8,25.0
2018-11-18,2,7,28.57142857142857
2018-11-19,3,23,13.043478260869565
