date,Joe Amabile,Dancing with the Stars,normalized_score
2018-09-24,0,26,0.0
2018-09-25,3,100,3.0
2018-09-26,2,86,2.3255813953488373
2018-09-27,0,17,0.0
2018-09-28,0,10,0.0
2018-09-29,0,10,0.0
2018-09-30,0,10,0.0
2018-10-01,0,11,0.0
2018-10-02,1,56,1.7857142857142856
2018-10-03,1,55,1.8181818181818181
2018-10-04,0,12,0.0
2018-10-05,0,9,0.0
2018-10-06,0,8,0.0
2018-10-07,0,12,0.0
2018-10-08,0,35,0.0
2018-10-09,1,62,1.6129032258064515
2018-10-10,0,16,0.0
2018-10-11,0,9,0.0
2018-10-12,0,6,0.0
2018-10-13,0,6,0.0
2018-10-14,0,9,0.0
2018-10-15,0,20,0.0
2018-10-16,1,47,2.127659574468085
2018-10-17,0,12,0.0
2018-10-18,0,8,0.0
2018-10-19,0,6,0.0
2018-10-20,0,6,0.0
2018-10-21,0,7,0.0
2018-10-22,0,23,0.0
2018-10-23,1,48,2.083333333333333
2018-10-24,0,12,0.0
2018-10-25,0,7,0.0
2018-10-26,0,6,0.0
2018-10-27,0,6,0.0
2018-10-28,0,6,0.0
2018-10-29,0,16,0.0
2018-10-30,1,51,1.9607843137254901
2018-10-31,0,11,0.0
2018-11-01,0,5,0.0
2018-11-02,0,6,0.0
2018-11-03,0,5,0.0
2018-11-04,0,6,0.0
2018-11-05,0,9,0.0
2018-11-06,1,55,1.8181818181818181
2018-11-07,0,12,0.0
2018-11-08,0,7,0.0
2018-11-09,0,5,0.0
2018-11-10,0,5,0.0
2018-11-11,0,6,0.0
2018-11-12,0,15,0.0
2018-11-13,2,67,2.9850746268656714
2018-11-14,1,16,6.25
2018-11-15,0,8,0.0
2018-11-16,0,6,0.0
2018-11-17,0,8,0.0
2018-11-18,0,7,0.0
2018-11-19,0,23,0.0
