date,Mary Lou Retton,Dancing with the Stars,normalized_score
2018-09-24,1,26,3.8461538461538463
2018-09-25,27,100,27.0
2018-09-26,17,86,19.767441860465116
2018-09-27,3,17,17.647058823529413
2018-09-28,1,10,10.0
2018-09-29,1,10,10.0
2018-09-30,1,10,10.0
2018-10-01,1,11,9.090909090909092
2018-10-02,9,56,16.071428571428573
2018-10-03,7,55,12.727272727272727
2018-10-04,1,12,8.333333333333332
2018-10-05,1,9,11.11111111111111
2018-10-06,1,8,12.5
2018-10-07,1,12,8.333333333333332
2018-10-08,1,35,2.857142857142857
2018-10-09,11,62,17.741935483870968
2018-10-10,2,16,12.5
2018-10-11,1,9,11.11111111111111
2018-10-12,1,6,16.666666666666664
2018-10-13,1,6,16.666666666666664
2018-10-14,0,9,0.0
2018-10-15,0,20,0.0
2018-10-16,5,47,10.638297872340425
2018-10-17,0,12,0.0
2018-10-18,0,8,0.0
2018-10-19,0,6,0.0
2018-10-20,0,6,0.0
2018-10-21,0,7,0.0
2018-10-22,0,23,0.0
2018-10-23,10,48,20.833333333333336
2018-10-24,1,12,8.333333333333332
2018-10-25,1,7,14.285714285714285
2018-10-26,0,6,0.0
2018-10-27,1,6,16.666666666666664
2018-10-28,1,6,16.666666666666664
2018-10-29,1,16,6.25
2018-10-30,21,51,41.17647058823529
2018-10-31,4,11,36.36363636363637
2018-11-01,2,5,40.0
2018-11-02,1,6,16.666666666666664
2018-11-03,1,5,20.0
2018-11-04,1,6,16.666666666666664
2018-11-05,1,9,11.11111111111111
2018-11-06,1,55,1.8181818181818181
2018-11-07,0,12,0.0
2018-11-08,1,7,14.285714285714285
2018-11-09,0,5,0.0
2018-11-10,0,5,0.0
2018-11-11,0,6,0.0
2018-11-12,0,15,0.0
2018-11-13,0,67,0.0
2018-11-14,0,16,0.0
2018-11-15,0,8,0.0
2018-11-16,0,6,0.0
2018-11-17,0,8,0.0
2018-11-18,0,7,0.0
2018-11-19,0,23,0.0
