date,Milo Manheim,Dancing with the Stars,normalized_score
2018-09-24,1,26,3.8461538461538463
2018-09-25,5,100,5.0
2018-09-26,3,86,3.488372093023256
2018-09-27,1,17,5.88235294117647
2018-09-28,0,10,0.0
2018-09-29,1,10,10.0
2018-09-30,1,10,10.0
2018-10-01,0,11,0.0
2018-10-02,7,56,12.5
2018-10-03,10,55,18.181818181818183
2018-10-04,2,12,16.666666666666664
2018-10-05,1,9,11.11111111111111
2018-10-06,2,8,25.0
2018-10-07,1,12,8.333333333333332
2018-10-08,1,35,2.857142857142857
2018-10-09,9,62,14.516129032258066
2018-10-10,2,16,12.5
2018-10-11,1,9,11.11111111111111
2018-10-12,1,6,16.666666666666664
2018-10-13,1,6,16.666666666666664
2018-10-14,1,9,11.11111111111111
2018-10-15,1,20,5.0
2018-10-16,5,47,10.638297872340425
2018-10-17,1,12,8.333333333333332
2018-10-18,1,8,12.5
2018-10-19,1,6,16.666666666666664
2018-10-20,1,6,16.666666666666664
2018-10-21,1,7,14.285714285714285
2018-10-22,1,23,4.3478260869565215
2018-10-23,3,48,6.25
2018-10-24,1,12,8.333333333333332
2018-10-25,1,7,14.285714285714285
2018-10-26,1,6,16.666666666666664
2018-10-27,1,6,16.666666666666664
2018-10-28,1,6,16.666666666666664
2018-10-29,1,16,6.25
2018-10-30,5,51,9.803921568627452
2018-10-31,1,11,9.090909090909092
2018-11-01,1,5,20.0
2018-11-02,1,6,16.666666666666664
2018-11-03,1,5,20.0
2018-11-04,1,6,16.666666666666664
2018-11-05,0,9,0.0
2018-11-06,6,55,10.909090909090908
2018-11-07,1,12,8.333333333333332
2018-11-08,1,7,14.285714285714285
2018-11-09,1,5,20.0
2018-11-10,1,5,20.0
2018-11-11,1,6,16.666666666666664
2018-11-12,1,15,6.666666666666667
2018-11-13,10,67,14.925373134328357
2018-11-14,2,16,12.5
2018-11-15,1,8,12.5
2018-11-16,1,6,16.666666666666664
2018-11-17,1,8,12.5
2018-11-18,1,7,14.285714285714285
2018-11-19,1,23,4.3478260869565215
