date,Nikki Glaser,Dancing with the Stars,normalized_score
2018-09-24,1,26,3.8461538461538463
2018-09-25,3,100,3.0
2018-09-26,9,86,10.465116279069768
2018-09-27,1,17,5.88235294117647
2018-09-28,1,10,10.0
2018-09-29,1,10,10.0
2018-09-30,1,10,10.0
2018-10-01,0,11,0.0
2018-10-02,1,56,1.7857142857142856
2018-10-03,2,55,3.6363636363636362
2018-10-04,7,12,58.333333333333336
2018-10-05,3,9,33.33333333333333
2018-10-06,2,8,25.0
2018-10-07,2,12,16.666666666666664
2018-10-08,5,35,14.285714285714285
2018-10-09,4,62,6.451612903225806
2018-10-10,3,16,18.75
2018-10-11,1,9,11.11111111111111
2018-10-12,1,6,16.666666666666664
2018-10-13,1,6,16.666666666666664
2018-10-14,1,9,11.11111111111111
2018-10-15,1,20,5.0
2018-10-16,1,47,2.127659574468085
2018-10-17,1,12,8.333333333333332
2018-10-18,1,8,12.5
2018-10-19,1,6,16.666666666666664
2018-10-20,1,6,16.666666666666664
2018-10-21,1,7,14.285714285714285
2018-10-22,0,23,0.0
2018-10-23,0,48,0.0
2018-10-24,0,12,0.0
2018-10-25,0,7,0.0
2018-10-26,0,6,0.0
2018-10-27,0,6,0.0
2018-10-28,0,6,0.0
2018-10-29,1,16,6.25
2018-10-30,17,51,33.33333333333333
2018-10-31,13,11,118.18181818181819
2018-11-01,3,5,60.0
2018-11-02,8,6,133.33333333333331
2018-11-03,3,5,60.0
2018-11-04,2,6,33.33333333333333
2018-11-05,1,9,11.11111111111111
2018-11-06,1,55,1.8181818181818181
2018-11-07,1,12,8.333333333333332
2018-11-08,1,7,14.285714285714285
2018-11-09,1,5,20.0
2018-11-10,1,5,20.0
2018-11-11,0,6,0.0
2018-11-12,0,15,0.0
2018-11-13,0,67,0.0
2018-11-14,1,16,6.25
2018-11-15,1,8,12.5
2018-11-16,0,6,0.0
2018-11-17,0,8,0.0
2018-11-18,0,7,0.0
2018-11-19,0,23,0.0
