date,Tinashe,Dancing with the Stars,normalized_score
2018-09-24,1,26,3.8461538461538463
2018-09-25,6,100,6.0
2018-09-26,4,86,4.651162790697675
2018-09-27,1,17,5.88235294117647
2018-09-28,1,10,10.0
2018-09-29,1,10,10.0
2018-09-30,1,10,10.0
2018-10-01,1,11,9.090909090909092
2018-10-02,4,56,7.142857142857142
2018-10-03,3,55,5.454545454545454
2018-10-04,1,12,8.333333333333332
2018-10-05,1,9,11.11111111111111
2018-10-06,1,8,12.5
2018-10-07,1,12,8.333333333333332
2018-10-08,1,35,2.857142857142857
2018-10-09,5,62,8.064516129032258
2018-10-10,1,16,6.25
2018-10-11,1,9,11.11111111111111
2018-10-12,1,6,16.666666666666664
2018-10-13,1,6,16.666666666666664
2018-10-14,1,9,11.11111111111111
2018-10-15,1,20,5.0
2018-10-16,5,47,10.638297872340425
2018-10-17,2,12,16.666666666666664
2018-10-18,1,8,12.5
2018-10-19,1,6,16.666666666666664
2018-10-20,1,6,16.666666666666664
2018-10-21,1,7,14.285714285714285
2018-10-22,1,23,4.3478260869565215
2018-10-23,1,48,2.083333333333333
2018-10-24,1,12,8.333333333333332
2018-10-25,1,7,14.285714285714285
2018-10-26,1,6,16.666666666666664
2018-10-27,1,6,16.666666666666664
2018-10-28,1,6,16.666666666666664
2018-10-29,1,16,6.25
2018-10-30,1,51,1.9607843137254901
2018-10-31,1,11,9.090909090909092
2018-11-01,1,5,20.0
2018-11-02,1,6,16.666666666666664
2018-11-03,1,5,20.0
2018-11-04,1,6,16.666666666666664
2018-11-05,1,9,11.11111111111111
2018-11-06,1,55,1.8181818181818181
2018-11-07,1,12,8.333333333333332
2018-11-08,1,7,14.285714285714285
2018-11-09,1,5,20.0
2018-11-10,1,5,20.0
2018-11-11,1,6,16.666666666666664
2018-11-12,0,15,0.0
2018-11-13,1,67,1.4925373134328357
2018-11-14,1,16,6.25
2018-11-15,1,8,12.5
2018-11-16,1,6,16.666666666666664
2018-11-17,1,8,12.5
2018-11-18,1,7,14.285714285714285
2018-11-19,1,23,4.3478260869565215
