date,Hannah Brown,Dancing with the Stars,normalized_score
2019-09-16,2,25,8.0
2019-09-17,20,100,20.0
2019-09-18,8,23,34.78260869565217
2019-09-19,4,11,36.36363636363637
2019-09-20,2,8,25.0
2019-09-21,2,8,25.0
2019-09-22,2,8,25.0
2019-09-23,2,11,18.181818181818183
2019-09-24,16,64,25.0
2019-09-25,5,14,35.714285714285715
2019-09-26,3,8,37.5
2019-09-27,2,6,33.33333333333333
2019-09-28,2,6,33.33333333333333
2019-09-29,2,6,33.33333333333333
2019-09-30,2,10,20.0
2019-10-01,13,59,22.033898305084744
2019-10-02,3,11,27.27272727272727
2019-10-03,2,7,28.57142857142857
2019-10-04,2,5,40.0
2019-10-05,3,5,60.0
2019-10-06,3,5,60.0
2019-10-07,2,6,33.33333333333333
2019-10-08,10,45,22.22222222222222
2019-10-09,4,10,40.0
2019-10-10,2,6,33.33333333333333
2019-10-11,2,5,40.0
2019-10-12,2,5,40.0
2019-10-13,2,5,40.0
2019-10-14,2,8,25.0
2019-10-15,11,50,22.0
2019-10-16,3,10,30.0
2019-10-17,2,6,33.33333333333333
2019-10-18,2,4,50.0
2019-10-19,2,5,40.0
2019-10-20,2,5,40.0
2019-10-21,2,6,33.33333333333333
2019-10-22,10,53,18.867924528301888
2019-10-23,3,13,23.076923076923077
2019-10-24,3,7,42.857142857142854
2019-10-25,3,6,50.0
2019-10-26,2,6,33.33333333333333
2019-10-27,2,6,33.33333333333333
2019-10-28,2,8,25.0
2019-10-29,7,47,14.893617021276595
2019-10-30,5,11,45.45454545454545
2019-10-31,3,7,42.857142857142854
2019-11-01,2,4,50.0
2019-11-02,2,5,40.0
2019-11-03,2,4,50.0
2019-11-04,2,6,33.33333333333333
2019-11-05,11,64,17.1875
2019-11-06,3,14,21.428571428571427
2019-11-07,2,7,28.57142857142857
2019-11-08,2,6,33.33333333333333
2019-11-09,2,5,40.0
2019-11-10,2,5,40.0
2019-11-11,9,7,128.57142857142858
2019-11-12,14,60,23.333333333333332
2019-11-13,4,10,40.0
2019-11-14,7,6,116.66666666666667
2019-11-15,3,4,75.0
2019-11-16,3,4,75.0
2019-11-17,3,4,75.0
2019-11-18,3,5,60.0
2019-11-19,16,66,24.242424242424242
2019-11-20,5,12,41.66666666666667
2019-11-21,3,6,50.0
2019-11-22,2,5,40.0
2019-11-23,2,5,40.0
2019-11-24,3,6,50.0
2019-11-25,3,9,33.33333333333333
