date,James Van Der Beek,Dancing with the Stars,normalized_score
2019-09-16,1,25,4.0
2019-09-17,18,100,18.0
2019-09-18,4,23,17.391304347826086
2019-09-19,2,11,18.181818181818183
2019-09-20,1,8,12.5
2019-09-21,1,8,12.5
2019-09-22,1,8,12.5
2019-09-23,1,11,9.090909090909092
2019-09-24,6,64,9.375
2019-09-25,2,14,14.285714285714285
2019-09-26,2,8,25.0
2019-09-27,1,6,16.666666666666664
2019-09-28,1,6,16.666666666666664
2019-09-29,1,6,16.666666666666664
2019-09-30,1,10,10.0
2019-10-01,7,59,11.864406779661017
2019-10-02,1,11,9.090909090909092
2019-10-03,1,7,14.285714285714285
2019-10-04,1,5,20.0
2019-10-05,1,5,20.0
2019-10-06,1,5,20.0
2019-10-07,0,6,0.0
2019-10-08,14,45,31.11111111111111
2019-10-09,3,10,30.0
2019-10-10,1,6,16.666666666666664
2019-10-11,1,5,20.0
2019-10-12,1,5,20.0
2019-10-13,1,5,20.0
2019-10-14,1,8,12.5
2019-10-15,5,50,10.0
2019-10-16,1,10,10.0
2019-10-17,0,6,0.0
2019-10-18,1,4,25.0
2019-10-19,1,5,20.0
2019-10-20,1,5,20.0
2019-10-21,0,6,0.0
2019-10-22,5,53,9.433962264150944
2019-10-23,1,13,7.6923076923076925
2019-10-24,1,7,14.285714285714285
2019-10-25,1,6,16.666666666666664
2019-10-26,0,6,0.0
2019-10-27,1,6,16.666666666666664
2019-10-28,0,8,0.0
2019-10-29,3,47,6.382978723404255
2019-10-30,1,11,9.090909090909092
2019-10-31,1,7,14.285714285714285
2019-11-01,1,4,25.0
2019-11-02,1,5,20.0
2019-11-03,0,4,0.0
2019-11-04,1,6,16.666666666666664
2019-11-05,5,64,7.8125
2019-11-06,1,14,7.142857142857142
2019-11-07,1,7,14.285714285714285
2019-11-08,1,6,16.666666666666664
2019-11-09,1,5,20.0
2019-11-10,1,5,20.0
2019-11-11,0,7,0.0
2019-11-12,8,60,13.333333333333334
2019-11-13,1,10,10.0
2019-11-14,1,6,16.666666666666664
2019-11-15,1,4,25.0
2019-11-16,1,4,25.0
2019-11-17,1,4,25.0
2019-11-18,0,5,0.0
2019-11-19,56,66,84.84848484848484
2019-11-20,11,12,91.66666666666666
2019-11-21,4,6,66.66666666666666
2019-11-22,3,5,60.0
2019-11-23,2,5,40.0
2019-11-24,1,6,16.666666666666664
2019-11-25,1,9,11.11111111111111
