date,Kel Mitchell,Dancing with the Stars,normalized_score
2019-09-16,1,25,4.0
2019-09-17,4,100,4.0
2019-09-18,1,23,4.3478260869565215
2019-09-19,0,11,0.0
2019-09-20,0,8,0.0
2019-09-21,0,8,0.0
2019-09-22,0,8,0.0
2019-09-23,0,11,0.0
2019-09-24,9,64,14.0625
2019-09-25,1,14,7.142857142857142
2019-09-26,1,8,12.5
2019-09-27,0,6,0.0
2019-09-28,0,6,0.0
2019-09-29,1,6,16.666666666666664
2019-09-30,0,10,0.0
2019-10-01,3,59,5.084745762711865
2019-10-02,1,11,9.090909090909092
2019-10-03,0,7,0.0
2019-10-04,0,5,0.0
2019-10-05,1,5,20.0
2019-10-06,1,5,20.0
2019-10-07,1,6,16.666666666666664
2019-10-08,11,45,24.444444444444443
2019-10-09,2,10,20.0
2019-10-10,1,6,16.666666666666664
2019-10-11,1,5,20.0
2019-10-12,1,5,20.0
2019-10-13,1,5,20.0
2019-10-14,1,8,12.5
2019-10-15,4,50,8.0
2019-10-16,1,10,10.0
2019-10-17,1,6,16.666666666666664
2019-10-18,0,4,0.0
2019-10-19,1,5,20.0
2019-10-20,1,5,20.0
2019-10-21,0,6,0.0
2019-10-22,3,53,5.660377358490567
2019-10-23,1,13,7.6923076923076925
2019-10-24,0,7,0.0
2019-10-25,0,6,0.0
2019-10-26,1,6,16.666666666666664
2019-10-27,0,6,0.0
2019-10-28,0,8,0.0
2019-10-29,2,47,4.25531914893617
2019-10-30,0,11,0.0
2019-10-31,0,7,0.0
2019-11-01,0,4,0.0
2019-11-02,0,5,0.0
2019-11-03,0,4,0.0
2019-11-04,0,6,0.0
2019-11-05,4,64,6.25
2019-11-06,1,14,7.142857142857142
2019-11-07,0,7,0.0
2019-11-08,0,6,0.0
2019-11-09,1,5,20.0
2019-11-10,1,5,20.0
2019-11-11,0,7,0.0
2019-11-12,5,60,8.333333333333332
2019-11-13,1,10,10.0
2019-11-14,0,6,0.0
2019-11-15,0,4,0.0
2019-11-16,1,4,25.0
2019-11-17,0,4,0.0
2019-11-18,0,5,0.0
2019-11-19,7,66,10.606060606060606
2019-11-20,1,12,8.333333333333332
2019-11-21,0,6,0.0
2019-11-22,0,5,0.0
2019-11-23,0,5,0.0
2019-11-24,1,6,16.666666666666664
2019-11-25,1,9,11.11111111111111
