date,Lauren Alaina,Dancing with the Stars,normalized_score
2019-09-16,3,25,12.0
2019-09-17,10,100,10.0
2019-09-18,3,23,13.043478260869565
2019-09-19,1,11,9.090909090909092
2019-09-20,1,8,12.5
2019-09-21,1,8,12.5
2019-09-22,1,8,12.5
2019-09-23,1,11,9.090909090909092
2019-09-24,7,64,10.9375
2019-09-25,2,14,14.285714285714285
2019-09-26,1,8,12.5
2019-09-27,1,6,16.666666666666664
2019-09-28,2,6,33.33333333333333
2019-09-29,1,6,16.666666666666664
2019-09-30,1,10,10.0
2019-10-01,4,59,6.779661016949152
2019-10-02,1,11,9.090909090909092
2019-10-03,1,7,14.285714285714285
2019-10-04,1,5,20.0
2019-10-05,1,5,20.0
2019-10-06,1,5,20.0
2019-10-07,1,6,16.666666666666664
2019-10-08,4,45,8.88888888888889
2019-10-09,1,10,10.0
2019-10-10,1,6,16.666666666666664
2019-10-11,1,5,20.0
2019-10-12,1,5,20.0
2019-10-13,1,5,20.0
2019-10-14,1,8,12.5
2019-10-15,4,50,8.0
2019-10-16,1,10,10.0
2019-10-17,1,6,16.666666666666664
2019-10-18,1,4,25.0
2019-10-19,1,5,20.0
2019-10-20,1,5,20.0
2019-10-21,1,6,16.666666666666664
2019-10-22,11,53,20.754716981132077
2019-10-23,4,13,30.76923076923077
2019-10-24,2,7,28.57142857142857
2019-10-25,1,6,16.666666666666664
2019-10-26,1,6,16.666666666666664
2019-10-27,1,6,16.666666666666664
2019-10-28,1,8,12.5
2019-10-29,4,47,8.51063829787234
2019-10-30,1,11,9.090909090909092
2019-10-31,1,7,14.285714285714285
2019-11-01,1,4,25.0
2019-11-02,1,5,20.0
2019-11-03,1,4,25.0
2019-11-04,1,6,16.666666666666664
2019-11-05,5,64,7.8125
2019-11-06,1,14,7.142857142857142
2019-11-07,3,7,42.857142857142854
2019-11-08,2,6,33.33333333333333
2019-11-09,1,5,20.0
2019-11-10,1,5,20.0
2019-11-11,1,7,14.285714285714285
2019-11-12,11,60,18.333333333333332
2019-11-13,3,10,30.0
2019-11-14,2,6,33.33333333333333
2019-11-15,1,4,25.0
2019-11-16,1,4,25.0
2019-11-17,1,4,25.0
2019-11-18,1,5,20.0
2019-11-19,10,66,15.151515151515152
2019-11-20,2,12,16.666666666666664
2019-11-21,1,6,16.666666666666664
2019-11-22,1,5,20.0
2019-11-23,1,5,20.0
2019-11-24,1,6,16.666666666666664
2019-11-25,1,9,11.11111111111111
