date,Sailor Brinkley-Cook,Dancing with the Stars,normalized_score
2019-09-16,1,25,4.0
2019-09-17,1,100,1.0
2019-09-18,0,23,0.0
2019-09-19,0,11,0.0
2019-09-20,0,8,0.0
2019-09-21,0,8,0.0
2019-09-22,0,8,0.0
2019-09-23,0,11,0.0
2019-09-24,0,64,0.0
2019-09-25,0,14,0.0
2019-09-26,0,8,0.0
2019-09-27,0,6,0.0
2019-09-28,0,6,0.0
2019-09-29,0,6,0.0
2019-09-30,0,10,0.0
2019-10-01,0,59,0.0
2019-10-02,0,11,0.0
2019-10-03,0,7,0.0
2019-10-04,0,5,0.0
2019-10-05,0,5,0.0
2019-10-06,0,5,0.0
2019-10-07,0,6,0.0
2019-10-08,0,45,0.0
2019-10-09,0,10,0.0
2019-10-10,0,6,0.0
2019-10-11,0,5,0.0
2019-10-12,0,5,0.0
2019-10-13,0,5,0.0
2019-10-14,0,8,0.0
2019-10-15,0,50,0.0
2019-10-16,0,10,0.0
2019-10-17,0,6,0.0
2019-10-18,0,4,0.0
2019-10-19,0,5,0.0
2019-10-20,0,5,0.0
2019-10-21,0,6,0.0
2019-10-22,0,53,0.0
2019-10-23,0,13,0.0
2019-10-24,0,7,0.0
2019-10-25,0,6,0.0
2019-10-26,0,6,0.0
2019-10-27,0,6,0.0
2019-10-28,0,8,0.0
2019-10-29,0,47,0.0
2019-10-30,0,11,0.0
2019-10-31,0,7,0.0
2019-11-01,0,4,0.0
2019-11-02,0,5,0.0
2019-11-03,0,4,0.0
2019-11-04,0,6,0.0
2019-11-05,0,64,0.0
2019-11-06,0,14,0.0
2019-11-07,0,7,0.0
2019-11-08,0,6,0.0
2019-11-09,0,5,0.0
2019-11-10,0,5,0.0
2019-11-11,0,7,0.0
2019-11-12,0,60,0.0
2019-11-13,0,10,0.0
2019-11-14,0,6,0.0
2019-11-15,0,4,0.0
2019-11-16,0,4,0.0
2019-11-17,0,4,0.0
2019-11-18,0,5,0.0
2019-11-19,0,66,0.0
2019-11-20,0,12,0.0
2019-11-21,0,6,0.0
2019-11-22,0,5,0.0
2019-11-23,0,5,0.0
2019-11-24,0,6,0.0
2019-11-25,0,9,0.0
