date,Carole Baskin,Dancing with the Stars,normalized_score
2020-09-14,6,22,27.27272727272727
2020-09-15,41,100,41.0
2020-09-16,15,27,55.55555555555556
2020-09-17,8,13,61.53846153846154
2020-09-18,5,9,55.55555555555556
2020-09-19,5,8,62.5
2020-09-20,4,7,57.14285714285714
2020-09-21,3,11,27.27272727272727
2020-09-22,4,19,21.052631578947366
2020-09-23,13,53,24.528301886792452
2020-09-24,5,13,38.46153846153847
2020-09-25,3,8,37.5
2020-09-26,4,7,57.14285714285714
2020-09-27,5,7,71.42857142857143
2020-09-28,5,10,50.0
2020-09-29,16,47,34.04255319148936
2020-09-30,5,9,55.55555555555556
2020-10-01,3,10,30.0
2020-10-02,2,5,40.0
2020-10-03,2,5,40.0
2020-10-04,3,5,60.0
2020-10-05,2,6,33.33333333333333
2020-10-06,3,62,4.838709677419355
2020-10-07,2,16,12.5
2020-10-08,2,6,33.33333333333333
2020-10-09,2,5,40.0
2020-10-10,2,5,40.0
2020-10-11,2,4,50.0
2020-10-12,2,5,40.0
2020-10-13,3,38,7.894736842105263
2020-10-14,2,9,22.22222222222222
2020-10-15,2,5,40.0
2020-10-16,2,4,50.0
2020-10-17,2,3,66.66666666666666
2020-10-18,2,3,66.66666666666666
2020-10-19,2,5,40.0
2020-10-20,4,40,10.0
2020-10-21,3,8,37.5
2020-10-22,2,4,50.0
2020-10-23,2,3,66.66666666666666
2020-10-24,3,3,100.0
2020-10-25,3,4,75.0
2020-10-26,2,5,40.0
2020-10-27,3,35,8.571428571428571
2020-10-28,2,7,28.57142857142857
2020-10-29,3,4,75.0
2020-10-30,7,3,233.33333333333334
2020-10-31,11,3,366.66666666666663
2020-11-01,6,3,200.0
2020-11-02,2,14,14.285714285714285
2020-11-03,1,42,2.380952380952381
2020-11-04,1,4,25.0
2020-11-05,1,3,33.33333333333333
2020-11-06,1,3,33.33333333333333
2020-11-07,1,3,33.33333333333333
2020-11-08,1,3,33.33333333333333
2020-11-09,1,4,25.0
2020-11-10,1,36,2.7777777777777777
2020-11-11,1,6,16.666666666666664
2020-11-12,1,4,25.0
2020-11-13,1,3,33.33333333333333
2020-11-14,1,3,33.33333333333333
2020-11-15,1,3,33.33333333333333
2020-11-16,1,4,25.0
2020-11-17,1,39,2.564102564102564
2020-11-18,1,8,12.5
2020-11-19,1,4,25.0
2020-11-20,1,3,33.33333333333333
2020-11-21,1,3,33.33333333333333
2020-11-22,1,3,33.33333333333333
2020-11-23,1,7,14.285714285714285
