date,Jeannie Mai,Dancing with the Stars,normalized_score
2020-09-14,1,22,4.545454545454546
2020-09-15,5,100,5.0
2020-09-16,1,27,3.7037037037037033
2020-09-17,1,13,7.6923076923076925
2020-09-18,3,9,33.33333333333333
2020-09-19,1,8,12.5
2020-09-20,1,7,14.285714285714285
2020-09-21,0,11,0.0
2020-09-22,1,19,5.263157894736842
2020-09-23,5,53,9.433962264150944
2020-09-24,1,13,7.6923076923076925
2020-09-25,1,8,12.5
2020-09-26,1,7,14.285714285714285
2020-09-27,0,7,0.0
2020-09-28,1,10,10.0
2020-09-29,5,47,10.638297872340425
2020-09-30,1,9,11.11111111111111
2020-10-01,1,10,10.0
2020-10-02,1,5,20.0
2020-10-03,0,5,0.0
2020-10-04,0,5,0.0
2020-10-05,0,6,0.0
2020-10-06,4,62,6.451612903225806
2020-10-07,1,16,6.25
2020-10-08,2,6,33.33333333333333
2020-10-09,2,5,40.0
2020-10-10,2,5,40.0
2020-10-11,1,4,25.0
2020-10-12,1,5,20.0
2020-10-13,4,38,10.526315789473683
2020-10-14,1,9,11.11111111111111
2020-10-15,1,5,20.0
2020-10-16,1,4,25.0
2020-10-17,1,3,33.33333333333333
2020-10-18,1,3,33.33333333333333
2020-10-19,1,5,20.0
2020-10-20,6,40,15.0
2020-10-21,1,8,12.5
2020-10-22,1,4,25.0
2020-10-23,1,3,33.33333333333333
2020-10-24,1,3,33.33333333333333
2020-10-25,1,4,25.0
2020-10-26,0,5,0.0
2020-10-27,2,35,5.714285714285714
2020-10-28,1,7,14.285714285714285
2020-10-29,1,4,25.0
2020-10-30,1,3,33.33333333333333
2020-10-31,0,3,0.0
2020-11-01,0,3,0.0
2020-11-02,24,14,171.42857142857142
2020-11-03,22,42,52.38095238095239
2020-11-04,2,4,50.0
2020-11-05,1,3,33.33333333333333
2020-11-06,1,3,33.33333333333333
2020-11-07,1,3,33.33333333333333
2020-11-08,1,3,33.33333333333333
2020-11-09,1,4,25.0
2020-11-10,1,36,2.7777777777777777
2020-11-11,1,6,16.666666666666664
2020-11-12,1,4,25.0
2020-11-13,1,3,33.33333333333333
2020-11-14,1,3,33.33333333333333
2020-11-15,1,3,33.33333333333333
2020-11-16,1,4,25.0
2020-11-17,1,39,2.564102564102564
2020-11-18,1,8,12.5
2020-11-19,1,4,25.0
2020-11-20,6,3,200.0
2020-11-21,2,3,66.66666666666666
2020-11-22,2,3,66.66666666666666
2020-11-23,1,7,14.285714285714285
