date,Kaitlyn Bristowe,Dancing with the Stars,normalized_score
2020-09-14,1,22,4.545454545454546
2020-09-15,7,100,7.000000000000001
2020-09-16,2,27,7.4074074074074066
2020-09-17,1,13,7.6923076923076925
2020-09-18,1,9,11.11111111111111
2020-09-19,0,8,0.0
2020-09-20,0,7,0.0
2020-09-21,0,11,0.0
2020-09-22,0,19,0.0
2020-09-23,6,53,11.320754716981133
2020-09-24,2,13,15.384615384615385
2020-09-25,1,8,12.5
2020-09-26,1,7,14.285714285714285
2020-09-27,1,7,14.285714285714285
2020-09-28,1,10,10.0
2020-09-29,4,47,8.51063829787234
2020-09-30,1,9,11.11111111111111
2020-10-01,0,10,0.0
2020-10-02,0,5,0.0
2020-10-03,0,5,0.0
2020-10-04,0,5,0.0
2020-10-05,0,6,0.0
2020-10-06,3,62,4.838709677419355
2020-10-07,1,16,6.25
2020-10-08,0,6,0.0
2020-10-09,0,5,0.0
2020-10-10,0,5,0.0
2020-10-11,0,4,0.0
2020-10-12,0,5,0.0
2020-10-13,3,38,7.894736842105263
2020-10-14,1,9,11.11111111111111
2020-10-15,0,5,0.0
2020-10-16,0,4,0.0
2020-10-17,0,3,0.0
2020-10-18,1,3,33.33333333333333
2020-10-19,0,5,0.0
2020-10-20,3,40,7.5
2020-10-21,1,8,12.5
2020-10-22,0,4,0.0
2020-10-23,0,3,0.0
2020-10-24,1,3,33.33333333333333
2020-10-25,1,4,25.0
2020-10-26,0,5,0.0
2020-10-27,3,35,8.571428571428571
2020-10-28,1,7,14.285714285714285
2020-10-29,0,4,0.0
2020-10-30,0,3,0.0
2020-10-31,0,3,0.0
2020-11-01,0,3,0.0
2020-11-02,0,14,0.0
2020-11-03,2,42,4.761904761904762
2020-11-04,1,4,25.0
2020-11-05,0,3,0.0
2020-11-06,0,3,0.0
2020-11-07,0,3,0.0
2020-11-08,0,3,0.0
2020-11-09,0,4,0.0
2020-11-10,5,36,13.88888888888889
2020-11-11,1,6,16.666666666666664
2020-11-12,0,4,0.0
2020-11-13,0,3,0.0
2020-11-14,0,3,0.0
2020-11-15,1,3,33.33333333333333
2020-11-16,1,4,25.0
2020-11-17,4,39,10.256410256410255
2020-11-18,1,8,12.5
2020-11-19,1,4,25.0
2020-11-20,0,3,0.0
2020-11-21,0,3,0.0
2020-11-22,0,3,0.0
2020-11-23,0,7,0.0
