date,Nelly,Dancing with the Stars,normalized_score
2020-09-14,3,22,13.636363636363635
2020-09-15,15,100,15.0
2020-09-16,6,27,22.22222222222222
2020-09-17,4,13,30.76923076923077
2020-09-18,3,9,33.33333333333333
2020-09-19,4,8,50.0
2020-09-20,3,7,42.857142857142854
2020-09-21,2,11,18.181818181818183
2020-09-22,3,19,15.789473684210526
2020-09-23,7,53,13.20754716981132
2020-09-24,4,13,30.76923076923077
2020-09-25,3,8,37.5
2020-09-26,4,7,57.14285714285714
2020-09-27,3,7,42.857142857142854
2020-09-28,3,10,30.0
2020-09-29,10,47,21.27659574468085
2020-09-30,3,9,33.33333333333333
2020-10-01,3,10,30.0
2020-10-02,3,5,60.0
2020-10-03,3,5,60.0
2020-10-04,3,5,60.0
2020-10-05,2,6,33.33333333333333
2020-10-06,5,62,8.064516129032258
2020-10-07,3,16,18.75
2020-10-08,2,6,33.33333333333333
2020-10-09,3,5,60.0
2020-10-10,3,5,60.0
2020-10-11,3,4,75.0
2020-10-12,2,5,40.0
2020-10-13,9,38,23.684210526315788
2020-10-14,4,9,44.44444444444444
2020-10-15,3,5,60.0
2020-10-16,3,4,75.0
2020-10-17,4,3,133.33333333333331
2020-10-18,3,3,100.0
2020-10-19,3,5,60.0
2020-10-20,8,40,20.0
2020-10-21,4,8,50.0
2020-10-22,3,4,75.0
2020-10-23,3,3,100.0
2020-10-24,3,3,100.0
2020-10-25,4,4,100.0
2020-10-26,3,5,60.0
2020-10-27,6,35,17.142857142857142
2020-10-28,3,7,42.857142857142854
2020-10-29,3,4,75.0
2020-10-30,3,3,100.0
2020-10-31,3,3,100.0
2020-11-01,3,3,100.0
2020-11-02,3,14,21.428571428571427
2020-11-03,10,42,23.809523809523807
2020-11-04,2,4,50.0
2020-11-05,2,3,66.66666666666666
2020-11-06,2,3,66.66666666666666
2020-11-07,3,3,100.0
2020-11-08,3,3,100.0
2020-11-09,3,4,75.0
2020-11-10,6,36,16.666666666666664
2020-11-11,3,6,50.0
2020-11-12,3,4,75.0
2020-11-13,3,3,100.0
2020-11-14,3,3,100.0
2020-11-15,3,3,100.0
2020-11-16,2,4,50.0
2020-11-17,9,39,23.076923076923077
2020-11-18,4,8,50.0
2020-11-19,3,4,75.0
2020-11-20,3,3,100.0
2020-11-21,3,3,100.0
2020-11-22,4,3,133.33333333333331
2020-11-23,15,7,214.28571428571428
