date,Skai Jackson,Dancing with the Stars,normalized_score
2020-09-14,2,22,9.090909090909092
2020-09-15,26,100,26.0
2020-09-16,7,27,25.925925925925924
2020-09-17,3,13,23.076923076923077
2020-09-18,2,9,22.22222222222222
2020-09-19,2,8,25.0
2020-09-20,2,7,28.57142857142857
2020-09-21,1,11,9.090909090909092
2020-09-22,1,19,5.263157894736842
2020-09-23,10,53,18.867924528301888
2020-09-24,3,13,23.076923076923077
2020-09-25,2,8,25.0
2020-09-26,2,7,28.57142857142857
2020-09-27,2,7,28.57142857142857
2020-09-28,2,10,20.0
2020-09-29,9,47,19.148936170212767
2020-09-30,2,9,22.22222222222222
2020-10-01,1,10,10.0
2020-10-02,1,5,20.0
2020-10-03,2,5,40.0
2020-10-04,1,5,20.0
2020-10-05,1,6,16.666666666666664
2020-10-06,11,62,17.741935483870968
2020-10-07,4,16,25.0
2020-10-08,2,6,33.33333333333333
2020-10-09,2,5,40.0
2020-10-10,1,5,20.0
2020-10-11,2,4,50.0
2020-10-12,3,5,60.0
2020-10-13,9,38,23.684210526315788
2020-10-14,2,9,22.22222222222222
2020-10-15,2,5,40.0
2020-10-16,1,4,25.0
2020-10-17,1,3,33.33333333333333
2020-10-18,1,3,33.33333333333333
2020-10-19,1,5,20.0
2020-10-20,7,40,17.5
2020-10-21,2,8,25.0
2020-10-22,1,4,25.0
2020-10-23,1,3,33.33333333333333
2020-10-24,1,3,33.33333333333333
2020-10-25,1,4,25.0
2020-10-26,1,5,20.0
2020-10-27,4,35,11.428571428571429
2020-10-28,2,7,28.57142857142857
2020-10-29,1,4,25.0
2020-10-30,1,3,33.33333333333333
2020-10-31,1,3,33.33333333333333
2020-11-01,1,3,33.33333333333333
2020-11-02,1,14,7.142857142857142
2020-11-03,7,42,16.666666666666664
2020-11-04,1,4,25.0
2020-11-05,1,3,33.33333333333333
2020-11-06,1,3,33.33333333333333
2020-11-07,1,3,33.33333333333333
2020-11-08,2,3,66.66666666666666
2020-11-09,1,4,25.0
2020-11-10,9,36,25.0
2020-11-11,2,6,33.33333333333333
2020-11-12,1,4,25.0
2020-11-13,1,3,33.33333333333333
2020-11-14,1,3,33.33333333333333
2020-11-15,1,3,33.33333333333333
2020-11-16,1,4,25.0
2020-11-17,10,39,25.64102564102564
2020-11-18,3,8,37.5
2020-11-19,2,4,50.0
2020-11-20,2,3,66.66666666666666
2020-11-21,1,3,33.33333333333333
2020-11-22,1,3,33.33333333333333
2020-11-23,1,7,14.285714285714285
