date,Amanda Kloots,Dancing with the Stars,normalized_score
2021-09-20,1,24,4.166666666666666
2021-09-21,21,100,21.0
2021-09-22,5,24,20.833333333333336
2021-09-23,2,12,16.666666666666664
2021-09-24,1,8,12.5
2021-09-25,1,7,14.285714285714285
2021-09-26,1,7,14.285714285714285
2021-09-27,1,15,6.666666666666667
2021-09-28,16,62,25.806451612903224
2021-09-29,3,15,20.0
2021-09-30,2,8,25.0
2021-10-01,1,7,14.285714285714285
2021-10-02,1,6,16.666666666666664
2021-10-03,1,5,20.0
2021-10-04,1,7,14.285714285714285
2021-10-05,9,50,18.0
2021-10-06,2,13,15.384615384615385
2021-10-07,1,7,14.285714285714285
2021-10-08,1,6,16.666666666666664
2021-10-09,1,5,20.0
2021-10-10,1,5,20.0
2021-10-11,1,8,12.5
2021-10-12,6,44,13.636363636363635
2021-10-13,5,47,10.638297872340425
2021-10-14,2,15,13.333333333333334
2021-10-15,1,8,12.5
2021-10-16,1,6,16.666666666666664
2021-10-17,1,8,12.5
2021-10-18,1,7,14.285714285714285
2021-10-19,7,42,16.666666666666664
2021-10-20,1,12,8.333333333333332
2021-10-21,1,6,16.666666666666664
2021-10-22,1,5,20.0
2021-10-23,1,5,20.0
2021-10-24,1,4,25.0
2021-10-25,1,6,16.666666666666664
2021-10-26,5,43,11.627906976744185
2021-10-27,1,13,7.6923076923076925
2021-10-28,1,6,16.666666666666664
2021-10-29,1,5,20.0
2021-10-30,1,5,20.0
2021-10-31,1,4,25.0
2021-11-01,0,6,0.0
2021-11-02,4,40,10.0
2021-11-03,1,11,9.090909090909092
2021-11-04,1,6,16.666666666666664
2021-11-05,1,5,20.0
2021-11-06,0,4,0.0
2021-11-07,0,4,0.0
2021-11-08,1,6,16.666666666666664
2021-11-09,6,48,12.5
2021-11-10,2,13,15.384615384615385
2021-11-11,1,8,12.5
2021-11-12,1,5,20.0
2021-11-13,0,5,0.0
2021-11-14,0,5,0.0
2021-11-15,1,6,16.666666666666664
2021-11-16,20,49,40.816326530612244
2021-11-17,5,14,35.714285714285715
2021-11-18,2,8,25.0
2021-11-19,1,5,20.0
2021-11-20,2,6,33.33333333333333
2021-11-21,1,6,16.666666666666664
2021-11-22,2,12,16.666666666666664
