date,Brian Austin Green,Dancing with the Stars,normalized_score
2021-09-20,1,24,4.166666666666666
2021-09-21,19,100,19.0
2021-09-22,6,24,25.0
2021-09-23,3,12,25.0
2021-09-24,2,8,25.0
2021-09-25,2,7,28.57142857142857
2021-09-26,1,7,14.285714285714285
2021-09-27,1,15,6.666666666666667
2021-09-28,9,62,14.516129032258066
2021-09-29,2,15,13.333333333333334
2021-09-30,1,8,12.5
2021-10-01,1,7,14.285714285714285
2021-10-02,1,6,16.666666666666664
2021-10-03,1,5,20.0
2021-10-04,1,7,14.285714285714285
2021-10-05,7,50,14.000000000000002
2021-10-06,2,13,15.384615384615385
2021-10-07,1,7,14.285714285714285
2021-10-08,1,6,16.666666666666664
2021-10-09,1,5,20.0
2021-10-10,1,5,20.0
2021-10-11,1,8,12.5
2021-10-12,6,44,13.636363636363635
2021-10-13,8,47,17.02127659574468
2021-10-14,3,15,20.0
2021-10-15,3,8,37.5
2021-10-16,3,6,50.0
2021-10-17,2,8,25.0
2021-10-18,2,7,28.57142857142857
2021-10-19,2,42,4.761904761904762
2021-10-20,1,12,8.333333333333332
2021-10-21,1,6,16.666666666666664
2021-10-22,1,5,20.0
2021-10-23,1,5,20.0
2021-10-24,1,4,25.0
2021-10-25,1,6,16.666666666666664
2021-10-26,1,43,2.3255813953488373
2021-10-27,1,13,7.6923076923076925
2021-10-28,1,6,16.666666666666664
2021-10-29,1,5,20.0
2021-10-30,1,5,20.0
2021-10-31,1,4,25.0
2021-11-01,1,6,16.666666666666664
2021-11-02,1,40,2.5
2021-11-03,0,11,0.0
2021-11-04,0,6,0.0
2021-11-05,0,5,0.0
2021-11-06,0,4,0.0
2021-11-07,0,4,0.0
2021-11-08,0,6,0.0
2021-11-09,0,48,0.0
2021-11-10,1,13,7.6923076923076925
2021-11-11,0,8,0.0
2021-11-12,0,5,0.0
2021-11-13,0,5,0.0
2021-11-14,1,5,20.0
2021-11-15,0,6,0.0
2021-11-16,0,49,0.0
2021-11-17,0,14,0.0
2021-11-18,0,8,0.0
2021-11-19,0,5,0.0
2021-11-20,1,6,16.666666666666664
2021-11-21,1,6,16.666666666666664
2021-11-22,1,12,8.333333333333332
