date,Christine Chiu,Dancing with the Stars,normalized_score
2021-09-20,0,24,0.0
2021-09-21,4,100,4.0
2021-09-22,1,24,4.166666666666666
2021-09-23,0,12,0.0
2021-09-24,0,8,0.0
2021-09-25,0,7,0.0
2021-09-26,0,7,0.0
2021-09-27,0,15,0.0
2021-09-28,4,62,6.451612903225806
2021-09-29,1,15,6.666666666666667
2021-09-30,0,8,0.0
2021-10-01,0,7,0.0
2021-10-02,0,6,0.0
2021-10-03,0,5,0.0
2021-10-04,0,7,0.0
2021-10-05,6,50,12.0
2021-10-06,1,13,7.6923076923076925
2021-10-07,1,7,14.285714285714285
2021-10-08,0,6,0.0
2021-10-09,0,5,0.0
2021-10-10,0,5,0.0
2021-10-11,0,8,0.0
2021-10-12,0,44,0.0
2021-10-13,0,47,0.0
2021-10-14,0,15,0.0
2021-10-15,0,8,0.0
2021-10-16,0,6,0.0
2021-10-17,0,8,0.0
2021-10-18,0,7,0.0
2021-10-19,0,42,0.0
2021-10-20,0,12,0.0
2021-10-21,0,6,0.0
2021-10-22,0,5,0.0
2021-10-23,0,5,0.0
2021-10-24,0,4,0.0
2021-10-25,0,6,0.0
2021-10-26,0,43,0.0
2021-10-27,0,13,0.0
2021-10-28,0,6,0.0
2021-10-29,0,5,0.0
2021-10-30,0,5,0.0
2021-10-31,0,4,0.0
2021-11-01,0,6,0.0
2021-11-02,0,40,0.0
2021-11-03,0,11,0.0
2021-11-04,0,6,0.0
2021-11-05,0,5,0.0
2021-11-06,0,4,0.0
2021-11-07,0,4,0.0
2021-11-08,0,6,0.0
2021-11-09,0,48,0.0
2021-11-10,0,13,0.0
2021-11-11,0,8,0.0
2021-11-12,0,5,0.0
2021-11-13,0,5,0.0
2021-11-14,0,5,0.0
2021-11-15,0,6,0.0
2021-11-16,0,49,0.0
2021-11-17,0,14,0.0
2021-11-18,0,8,0.0
2021-11-19,0,5,0.0
2021-11-20,0,6,0.0
2021-11-21,0,6,0.0
2021-11-22,0,12,0.0
