date,Jimmie Allen,Dancing with the Stars,normalized_score
2021-09-20,1,24,4.166666666666666
2021-09-21,7,100,7.000000000000001
2021-09-22,2,24,8.333333333333332
2021-09-23,1,12,8.333333333333332
2021-09-24,1,8,12.5
2021-09-25,1,7,14.285714285714285
2021-09-26,1,7,14.285714285714285
2021-09-27,1,15,6.666666666666667
2021-09-28,5,62,8.064516129032258
2021-09-29,1,15,6.666666666666667
2021-09-30,1,8,12.5
2021-10-01,1,7,14.285714285714285
2021-10-02,1,6,16.666666666666664
2021-10-03,1,5,20.0
2021-10-04,1,7,14.285714285714285
2021-10-05,6,50,12.0
2021-10-06,1,13,7.6923076923076925
2021-10-07,1,7,14.285714285714285
2021-10-08,1,6,16.666666666666664
2021-10-09,1,5,20.0
2021-10-10,1,5,20.0
2021-10-11,1,8,12.5
2021-10-12,5,44,11.363636363636363
2021-10-13,4,47,8.51063829787234
2021-10-14,1,15,6.666666666666667
2021-10-15,1,8,12.5
2021-10-16,1,6,16.666666666666664
2021-10-17,1,8,12.5
2021-10-18,1,7,14.285714285714285
2021-10-19,8,42,19.047619047619047
2021-10-20,1,12,8.333333333333332
2021-10-21,1,6,16.666666666666664
2021-10-22,1,5,20.0
2021-10-23,1,5,20.0
2021-10-24,1,4,25.0
2021-10-25,1,6,16.666666666666664
2021-10-26,5,43,11.627906976744185
2021-10-27,1,13,7.6923076923076925
2021-10-28,1,6,16.666666666666664
2021-10-29,1,5,20.0
2021-10-30,1,5,20.0
2021-10-31,1,4,25.0
2021-11-01,0,6,0.0
2021-11-02,5,40,12.5
2021-11-03,1,11,9.090909090909092
2021-11-04,1,6,16.666666666666664
2021-11-05,2,5,40.0
2021-11-06,1,4,25.0
2021-11-07,1,4,25.0
2021-11-08,1,6,16.666666666666664
2021-11-09,6,48,12.5
2021-11-10,2,13,15.384615384615385
2021-11-11,21,8,262.5
2021-11-12,5,5,100.0
2021-11-13,3,5,60.0
2021-11-14,3,5,60.0
2021-11-15,1,6,16.666666666666664
2021-11-16,1,49,2.0408163265306123
2021-11-17,1,14,7.142857142857142
2021-11-18,1,8,12.5
2021-11-19,1,5,20.0
2021-11-20,1,6,16.666666666666664
2021-11-21,1,6,16.666666666666664
2021-11-22,1,12,8.333333333333332
