date,Matt James,Dancing with the Stars,normalized_score
2021-09-20,1,24,4.166666666666666
2021-09-21,6,100,6.0
2021-09-22,2,24,8.333333333333332
2021-09-23,1,12,8.333333333333332
2021-09-24,1,8,12.5
2021-09-25,1,7,14.285714285714285
2021-09-26,1,7,14.285714285714285
2021-09-27,1,15,6.666666666666667
2021-09-28,4,62,6.451612903225806
2021-09-29,3,15,20.0
2021-09-30,2,8,25.0
2021-10-01,2,7,28.57142857142857
2021-10-02,2,6,33.33333333333333
2021-10-03,1,5,20.0
2021-10-04,1,7,14.285714285714285
2021-10-05,4,50,8.0
2021-10-06,2,13,15.384615384615385
2021-10-07,1,7,14.285714285714285
2021-10-08,1,6,16.666666666666664
2021-10-09,1,5,20.0
2021-10-10,1,5,20.0
2021-10-11,1,8,12.5
2021-10-12,3,44,6.8181818181818175
2021-10-13,5,47,10.638297872340425
2021-10-14,2,15,13.333333333333334
2021-10-15,1,8,12.5
2021-10-16,1,6,16.666666666666664
2021-10-17,1,8,12.5
2021-10-18,1,7,14.285714285714285
2021-10-19,1,42,2.380952380952381
2021-10-20,1,12,8.333333333333332
2021-10-21,1,6,16.666666666666664
2021-10-22,1,5,20.0
2021-10-23,1,5,20.0
2021-10-24,1,4,25.0
2021-10-25,1,6,16.666666666666664
2021-10-26,1,43,2.3255813953488373
2021-10-27,1,13,7.6923076923076925
2021-10-28,1,6,16.666666666666664
2021-10-29,1,5,20.0
2021-10-30,1,5,20.0
2021-10-31,1,4,25.0
2021-11-01,1,6,16.666666666666664
2021-11-02,1,40,2.5
2021-11-03,1,11,9.090909090909092
2021-11-04,0,6,0.0
2021-11-05,1,5,20.0
2021-11-06,0,4,0.0
2021-11-07,1,4,25.0
2021-11-08,1,6,16.666666666666664
2021-11-09,1,48,2.083333333333333
2021-11-10,1,13,7.6923076923076925
2021-11-11,1,8,12.5
2021-11-12,1,5,20.0
2021-11-13,1,5,20.0
2021-11-14,1,5,20.0
2021-11-15,1,6,16.666666666666664
2021-11-16,1,49,2.0408163265306123
2021-11-17,1,14,7.142857142857142
2021-11-18,1,8,12.5
2021-11-19,1,5,20.0
2021-11-20,0,6,0.0
2021-11-21,1,6,16.666666666666664
2021-11-22,1,12,8.333333333333332
