date,Melora Hardin,Dancing with the Stars,normalized_score
2021-09-20,1,24,4.166666666666666
2021-09-21,10,100,10.0
2021-09-22,2,24,8.333333333333332
2021-09-23,1,12,8.333333333333332
2021-09-24,1,8,12.5
2021-09-25,1,7,14.285714285714285
2021-09-26,1,7,14.285714285714285
2021-09-27,1,15,6.666666666666667
2021-09-28,7,62,11.29032258064516
2021-09-29,1,15,6.666666666666667
2021-09-30,1,8,12.5
2021-10-01,0,7,0.0
2021-10-02,1,6,16.666666666666664
2021-10-03,0,5,0.0
2021-10-04,0,7,0.0
2021-10-05,7,50,14.000000000000002
2021-10-06,1,13,7.6923076923076925
2021-10-07,1,7,14.285714285714285
2021-10-08,1,6,16.666666666666664
2021-10-09,1,5,20.0
2021-10-10,0,5,0.0
2021-10-11,0,8,0.0
2021-10-12,5,44,11.363636363636363
2021-10-13,4,47,8.51063829787234
2021-10-14,1,15,6.666666666666667
2021-10-15,1,8,12.5
2021-10-16,1,6,16.666666666666664
2021-10-17,0,8,0.0
2021-10-18,0,7,0.0
2021-10-19,4,42,9.523809523809524
2021-10-20,1,12,8.333333333333332
2021-10-21,0,6,0.0
2021-10-22,0,5,0.0
2021-10-23,1,5,20.0
2021-10-24,0,4,0.0
2021-10-25,0,6,0.0
2021-10-26,5,43,11.627906976744185
2021-10-27,1,13,7.6923076923076925
2021-10-28,0,6,0.0
2021-10-29,0,5,0.0
2021-10-30,0,5,0.0
2021-10-31,0,4,0.0
2021-11-01,0,6,0.0
2021-11-02,4,40,10.0
2021-11-03,1,11,9.090909090909092
2021-11-04,0,6,0.0
2021-11-05,0,5,0.0
2021-11-06,0,4,0.0
2021-11-07,0,4,0.0
2021-11-08,0,6,0.0
2021-11-09,6,48,12.5
2021-11-10,1,13,7.6923076923076925
2021-11-11,1,8,12.5
2021-11-12,1,5,20.0
2021-11-13,1,5,20.0
2021-11-14,1,5,20.0
2021-11-15,0,6,0.0
2021-11-16,6,49,12.244897959183673
2021-11-17,1,14,7.142857142857142
2021-11-18,1,8,12.5
2021-11-19,1,5,20.0
2021-11-20,0,6,0.0
2021-11-21,0,6,0.0
2021-11-22,0,12,0.0
