date,Olivia Jade,Dancing with the Stars,normalized_score
2021-09-20,1,24,4.166666666666666
2021-09-21,28,100,28.000000000000004
2021-09-22,7,24,29.166666666666668
2021-09-23,3,12,25.0
2021-09-24,2,8,25.0
2021-09-25,2,7,28.57142857142857
2021-09-26,2,7,28.57142857142857
2021-09-27,2,15,13.333333333333334
2021-09-28,9,62,14.516129032258066
2021-09-29,3,15,20.0
2021-09-30,1,8,12.5
2021-10-01,1,7,14.285714285714285
2021-10-02,1,6,16.666666666666664
2021-10-03,1,5,20.0
2021-10-04,1,7,14.285714285714285
2021-10-05,8,50,16.0
2021-10-06,2,13,15.384615384615385
2021-10-07,1,7,14.285714285714285
2021-10-08,1,6,16.666666666666664
2021-10-09,1,5,20.0
2021-10-10,1,5,20.0
2021-10-11,1,8,12.5
2021-10-12,5,44,11.363636363636363
2021-10-13,6,47,12.76595744680851
2021-10-14,2,15,13.333333333333334
2021-10-15,1,8,12.5
2021-10-16,4,6,66.66666666666666
2021-10-17,2,8,25.0
2021-10-18,2,7,28.57142857142857
2021-10-19,7,42,16.666666666666664
2021-10-20,2,12,16.666666666666664
2021-10-21,1,6,16.666666666666664
2021-10-22,1,5,20.0
2021-10-23,1,5,20.0
2021-10-24,1,4,25.0
2021-10-25,1,6,16.666666666666664
2021-10-26,8,43,18.6046511627907
2021-10-27,2,13,15.384615384615385
2021-10-28,1,6,16.666666666666664
2021-10-29,1,5,20.0
2021-10-30,1,5,20.0
2021-10-31,1,4,25.0
2021-11-01,1,6,16.666666666666664
2021-11-02,6,40,15.0
2021-11-03,1,11,9.090909090909092
2021-11-04,1,6,16.666666666666664
2021-11-05,1,5,20.0
2021-11-06,1,4,25.0
2021-11-07,0,4,0.0
2021-11-08,0,6,0.0
2021-11-09,8,48,16.666666666666664
2021-11-10,3,13,23.076923076923077
2021-11-11,1,8,12.5
2021-11-12,1,5,20.0
2021-11-13,1,5,20.0
2021-11-14,1,5,20.0
2021-11-15,1,6,16.666666666666664
2021-11-16,1,49,2.0408163265306123
2021-11-17,1,14,7.142857142857142
2021-11-18,1,8,12.5
2021-11-19,1,5,20.0
2021-11-20,1,6,16.666666666666664
2021-11-21,0,6,0.0
2021-11-22,1,12,8.333333333333332
