date,Suni Lee,Dancing with the Stars,normalized_score
2021-09-20,1,24,4.166666666666666
2021-09-21,8,100,8.0
2021-09-22,2,24,8.333333333333332
2021-09-23,1,12,8.333333333333332
2021-09-24,1,8,12.5
2021-09-25,1,7,14.285714285714285
2021-09-26,1,7,14.285714285714285
2021-09-27,1,15,6.666666666666667
2021-09-28,5,62,8.064516129032258
2021-09-29,2,15,13.333333333333334
2021-09-30,2,8,25.0
2021-10-01,1,7,14.285714285714285
2021-10-02,0,6,0.0
2021-10-03,1,5,20.0
2021-10-04,0,7,0.0
2021-10-05,3,50,6.0
2021-10-06,1,13,7.6923076923076925
2021-10-07,1,7,14.285714285714285
2021-10-08,0,6,0.0
2021-10-09,0,5,0.0
2021-10-10,0,5,0.0
2021-10-11,0,8,0.0
2021-10-12,2,44,4.545454545454546
2021-10-13,3,47,6.382978723404255
2021-10-14,1,15,6.666666666666667
2021-10-15,0,8,0.0
2021-10-16,0,6,0.0
2021-10-17,0,8,0.0
2021-10-18,0,7,0.0
2021-10-19,3,42,7.142857142857142
2021-10-20,1,12,8.333333333333332
2021-10-21,0,6,0.0
2021-10-22,0,5,0.0
2021-10-23,0,5,0.0
2021-10-24,0,4,0.0
2021-10-25,0,6,0.0
2021-10-26,2,43,4.651162790697675
2021-10-27,1,13,7.6923076923076925
2021-10-28,0,6,0.0
2021-10-29,0,5,0.0
2021-10-30,0,5,0.0
2021-10-31,0,4,0.0
2021-11-01,0,6,0.0
2021-11-02,5,40,12.5
2021-11-03,3,11,27.27272727272727
2021-11-04,1,6,16.666666666666664
2021-11-05,1,5,20.0
2021-11-06,1,4,25.0
2021-11-07,0,4,0.0
2021-11-08,1,6,16.666666666666664
2021-11-09,5,48,10.416666666666668
2021-11-10,1,13,7.6923076923076925
2021-11-11,1,8,12.5
2021-11-12,7,5,140.0
2021-11-13,2,5,40.0
2021-11-14,1,5,20.0
2021-11-15,1,6,16.666666666666664
2021-11-16,5,49,10.204081632653061
2021-11-17,1,14,7.142857142857142
2021-11-18,1,8,12.5
2021-11-19,0,5,0.0
2021-11-20,0,6,0.0
2021-11-21,0,6,0.0
2021-11-22,0,12,0.0
