date,Charli D'Amelio,Dancing with the Stars,normalized_score
2022-09-19,3,35,8.571428571428571
2022-09-20,10,100,10.0
2022-09-21,6,42,14.285714285714285
2022-09-22,5,25,20.0
2022-09-23,5,15,33.33333333333333
2022-09-24,5,15,33.33333333333333
2022-09-25,4,13,30.76923076923077
2022-09-26,3,23,13.043478260869565
2022-09-27,6,54,11.11111111111111
2022-09-28,6,20,30.0
2022-09-29,5,12,41.66666666666667
2022-09-30,4,9,44.44444444444444
2022-10-01,4,8,50.0
2022-10-02,4,9,44.44444444444444
2022-10-03,3,13,23.076923076923077
2022-10-04,8,38,21.052631578947366
2022-10-05,6,17,35.294117647058826
2022-10-06,5,11,45.45454545454545
2022-10-07,6,11,54.54545454545454
2022-10-08,4,12,33.33333333333333
2022-10-09,4,11,36.36363636363637
2022-10-10,4,16,25.0
2022-10-11,6,46,13.043478260869565
2022-10-12,5,17,29.411764705882355
2022-10-13,5,10,50.0
2022-10-14,4,8,50.0
2022-10-15,4,9,44.44444444444444
2022-10-16,4,9,44.44444444444444
2022-10-17,3,11,27.27272727272727
2022-10-18,6,40,15.0
2022-10-19,7,35,20.0
2022-10-20,4,16,25.0
2022-10-21,4,10,40.0
2022-10-22,4,9,44.44444444444444
2022-10-23,4,9,44.44444444444444
2022-10-24,3,10,30.0
2022-10-25,5,34,14.705882352941178
2022-10-26,6,12,50.0
2022-10-27,6,8,75.0
2022-10-28,4,6,66.66666666666666
2022-10-29,5,7,71.42857142857143
2022-10-30,5,6,83.33333333333334
2022-10-31,4,7,57.14285714285714
2022-11-01,4,25,16.0
2022-11-02,4,11,36.36363636363637
2022-11-03,4,7,57.14285714285714
2022-11-04,4,5,80.0
2022-11-05,4,8,50.0
2022-11-06,4,8,50.0
2022-11-07,3,7,42.857142857142854
2022-11-08,5,30,16.666666666666664
2022-11-09,3,11,27.27272727272727
2022-11-10,3,8,37.5
2022-11-11,4,7,57.14285714285714
2022-11-12,4,7,57.14285714285714
2022-11-13,3,7,42.857142857142854
2022-11-14,3,7,42.857142857142854
2022-11-15,5,40,12.5
2022-11-16,4,15,26.666666666666668
2022-11-17,3,8,37.5
2022-11-18,3,7,42.857142857142854
2022-11-19,4,8,50.0
2022-11-20,4,7,57.14285714285714
2022-11-21,3,13,23.076923076923077
