date,Cheryl Ladd,Dancing with the Stars,normalized_score
2022-09-19,2,35,5.714285714285714
2022-09-20,6,100,6.0
2022-09-21,3,42,7.142857142857142
2022-09-22,4,25,16.0
2022-09-23,2,15,13.333333333333334
2022-09-24,2,15,13.333333333333334
2022-09-25,2,13,15.384615384615385
2022-09-26,2,23,8.695652173913043
2022-09-27,5,54,9.25925925925926
2022-09-28,2,20,10.0
2022-09-29,1,12,8.333333333333332
2022-09-30,1,9,11.11111111111111
2022-10-01,1,8,12.5
2022-10-02,1,9,11.11111111111111
2022-10-03,1,13,7.6923076923076925
2022-10-04,6,38,15.789473684210526
2022-10-05,3,17,17.647058823529413
2022-10-06,2,11,18.181818181818183
2022-10-07,1,11,9.090909090909092
2022-10-08,1,12,8.333333333333332
2022-10-09,1,11,9.090909090909092
2022-10-10,1,16,6.25
2022-10-11,1,46,2.1739130434782608
2022-10-12,1,17,5.88235294117647
2022-10-13,1,10,10.0
2022-10-14,1,8,12.5
2022-10-15,1,9,11.11111111111111
2022-10-16,0,9,0.0
2022-10-17,1,11,9.090909090909092
2022-10-18,1,40,2.5
2022-10-19,1,35,2.857142857142857
2022-10-20,0,16,0.0
2022-10-21,0,10,0.0
2022-10-22,1,9,11.11111111111111
2022-10-23,1,9,11.11111111111111
2022-10-24,1,10,10.0
2022-10-25,0,34,0.0
2022-10-26,1,12,8.333333333333332
2022-10-27,0,8,0.0
2022-10-28,0,6,0.0
2022-10-29,1,7,14.285714285714285
2022-10-30,1,6,16.666666666666664
2022-10-31,0,7,0.0
2022-11-01,0,25,0.0
2022-11-02,0,11,0.0
2022-11-03,1,7,14.285714285714285
2022-11-04,1,5,20.0
2022-11-05,1,8,12.5
2022-11-06,1,8,12.5
2022-11-07,0,7,0.0
2022-11-08,1,30,3.3333333333333335
2022-11-09,0,11,0.0
2022-11-10,0,8,0.0
2022-11-11,1,7,14.285714285714285
2022-11-12,0,7,0.0
2022-11-13,1,7,14.285714285714285
2022-11-14,0,7,0.0
2022-11-15,0,40,0.0
2022-11-16,0,15,0.0
2022-11-17,0,8,0.0
2022-11-18,0,7,0.0
2022-11-19,1,8,12.5
2022-11-20,1,7,14.285714285714285
2022-11-21,0,13,0.0
