date,Heidi D'Amelio,Dancing with the Stars,normalized_score
2022-09-19,0,35,0.0
2022-09-20,3,100,3.0
2022-09-21,1,42,2.380952380952381
2022-09-22,1,25,4.0
2022-09-23,1,15,6.666666666666667
2022-09-24,1,15,6.666666666666667
2022-09-25,0,13,0.0
2022-09-26,0,23,0.0
2022-09-27,1,54,1.8518518518518516
2022-09-28,1,20,5.0
2022-09-29,1,12,8.333333333333332
2022-09-30,0,9,0.0
2022-10-01,0,8,0.0
2022-10-02,0,9,0.0
2022-10-03,0,13,0.0
2022-10-04,2,38,5.263157894736842
2022-10-05,1,17,5.88235294117647
2022-10-06,0,11,0.0
2022-10-07,0,11,0.0
2022-10-08,0,12,0.0
2022-10-09,0,11,0.0
2022-10-10,0,16,0.0
2022-10-11,1,46,2.1739130434782608
2022-10-12,1,17,5.88235294117647
2022-10-13,0,10,0.0
2022-10-14,0,8,0.0
2022-10-15,0,9,0.0
2022-10-16,0,9,0.0
2022-10-17,0,11,0.0
2022-10-18,3,40,7.5
2022-10-19,3,35,8.571428571428571
2022-10-20,1,16,6.25
2022-10-21,1,10,10.0
2022-10-22,0,9,0.0
2022-10-23,0,9,0.0
2022-10-24,0,10,0.0
2022-10-25,1,34,2.941176470588235
2022-10-26,1,12,8.333333333333332
2022-10-27,0,8,0.0
2022-10-28,0,6,0.0
2022-10-29,0,7,0.0
2022-10-30,0,6,0.0
2022-10-31,0,7,0.0
2022-11-01,1,25,4.0
2022-11-02,0,11,0.0
2022-11-03,0,7,0.0
2022-11-04,0,5,0.0
2022-11-05,0,8,0.0
2022-11-06,0,8,0.0
2022-11-07,0,7,0.0
2022-11-08,1,30,3.3333333333333335
2022-11-09,0,11,0.0
2022-11-10,0,8,0.0
2022-11-11,0,7,0.0
2022-11-12,0,7,0.0
2022-11-13,0,7,0.0
2022-11-14,0,7,0.0
2022-11-15,0,40,0.0
2022-11-16,0,15,0.0
2022-11-17,0,8,0.0
2022-11-18,0,7,0.0
2022-11-19,0,8,0.0
2022-11-20,0,7,0.0
2022-11-21,0,13,0.0
