date,Joseph Baena,Dancing with the Stars,normalized_score
2022-09-19,1,35,2.857142857142857
2022-09-20,9,100,9.0
2022-09-21,3,42,7.142857142857142
2022-09-22,2,25,8.0
2022-09-23,1,15,6.666666666666667
2022-09-24,1,15,6.666666666666667
2022-09-25,1,13,7.6923076923076925
2022-09-26,1,23,4.3478260869565215
2022-09-27,4,54,7.4074074074074066
2022-09-28,2,20,10.0
2022-09-29,1,12,8.333333333333332
2022-09-30,1,9,11.11111111111111
2022-10-01,1,8,12.5
2022-10-02,1,9,11.11111111111111
2022-10-03,1,13,7.6923076923076925
2022-10-04,4,38,10.526315789473683
2022-10-05,2,17,11.76470588235294
2022-10-06,1,11,9.090909090909092
2022-10-07,1,11,9.090909090909092
2022-10-08,1,12,8.333333333333332
2022-10-09,1,11,9.090909090909092
2022-10-10,1,16,6.25
2022-10-11,5,46,10.869565217391305
2022-10-12,2,17,11.76470588235294
2022-10-13,1,10,10.0
2022-10-14,1,8,12.5
2022-10-15,1,9,11.11111111111111
2022-10-16,1,9,11.11111111111111
2022-10-17,1,11,9.090909090909092
2022-10-18,7,40,17.5
2022-10-19,10,35,28.57142857142857
2022-10-20,4,16,25.0
2022-10-21,2,10,20.0
2022-10-22,2,9,22.22222222222222
2022-10-23,2,9,22.22222222222222
2022-10-24,2,10,20.0
2022-10-25,2,34,5.88235294117647
2022-10-26,1,12,8.333333333333332
2022-10-27,1,8,12.5
2022-10-28,1,6,16.666666666666664
2022-10-29,1,7,14.285714285714285
2022-10-30,1,6,16.666666666666664
2022-10-31,1,7,14.285714285714285
2022-11-01,0,25,0.0
2022-11-02,1,11,9.090909090909092
2022-11-03,0,7,0.0
2022-11-04,0,5,0.0
2022-11-05,0,8,0.0
2022-11-06,0,8,0.0
2022-11-07,0,7,0.0
2022-11-08,0,30,0.0
2022-11-09,0,11,0.0
2022-11-10,0,8,0.0
2022-11-11,0,7,0.0
2022-11-12,1,7,14.285714285714285
2022-11-13,1,7,14.285714285714285
2022-11-14,0,7,0.0
2022-11-15,0,40,0.0
2022-11-16,0,15,0.0
2022-11-17,0,8,0.0
2022-11-18,0,7,0.0
2022-11-19,0,8,0.0
2022-11-20,1,7,14.285714285714285
2022-11-21,0,13,0.0
