date,Sam Champion,Dancing with the Stars,normalized_score
2022-09-19,1,35,2.857142857142857
2022-09-20,5,100,5.0
2022-09-21,2,42,4.761904761904762
2022-09-22,1,25,4.0
2022-09-23,1,15,6.666666666666667
2022-09-24,1,15,6.666666666666667
2022-09-25,0,13,0.0
2022-09-26,1,23,4.3478260869565215
2022-09-27,2,54,3.7037037037037033
2022-09-28,1,20,5.0
2022-09-29,1,12,8.333333333333332
2022-09-30,1,9,11.11111111111111
2022-10-01,0,8,0.0
2022-10-02,0,9,0.0
2022-10-03,0,13,0.0
2022-10-04,2,38,5.263157894736842
2022-10-05,1,17,5.88235294117647
2022-10-06,0,11,0.0
2022-10-07,0,11,0.0
2022-10-08,0,12,0.0
2022-10-09,1,11,9.090909090909092
2022-10-10,1,16,6.25
2022-10-11,4,46,8.695652173913043
2022-10-12,1,17,5.88235294117647
2022-10-13,0,10,0.0
2022-10-14,0,8,0.0
2022-10-15,0,9,0.0
2022-10-16,0,9,0.0
2022-10-17,1,11,9.090909090909092
2022-10-18,0,40,0.0
2022-10-19,1,35,2.857142857142857
2022-10-20,0,16,0.0
2022-10-21,0,10,0.0
2022-10-22,0,9,0.0
2022-10-23,0,9,0.0
2022-10-24,0,10,0.0
2022-10-25,0,34,0.0
2022-10-26,0,12,0.0
2022-10-27,0,8,0.0
2022-10-28,0,6,0.0
2022-10-29,0,7,0.0
2022-10-30,0,6,0.0
2022-10-31,0,7,0.0
2022-11-01,0,25,0.0
2022-11-02,0,11,0.0
2022-11-03,0,7,0.0
2022-11-04,0,5,0.0
2022-11-05,0,8,0.0
2022-11-06,0,8,0.0
2022-11-07,0,7,0.0
2022-11-08,0,30,0.0
2022-11-09,0,11,0.0
2022-11-10,0,8,0.0
2022-11-11,0,7,0.0
2022-11-12,0,7,0.0
2022-11-13,0,7,0.0
2022-11-14,0,7,0.0
2022-11-15,0,40,0.0
2022-11-16,0,15,0.0
2022-11-17,0,8,0.0
2022-11-18,0,7,0.0
2022-11-19,0,8,0.0
2022-11-20,0,7,0.0
2022-11-21,0,13,0.0
