date,Shangela,Dancing with the Stars,normalized_score
2022-09-19,1,37,2.7027027027027026
2022-09-20,4,100,4.0
2022-09-21,2,43,4.651162790697675
2022-09-22,1,24,4.166666666666666
2022-09-23,1,15,6.666666666666667
2022-09-24,1,14,7.142857142857142
2022-09-25,1,13,7.6923076923076925
2022-09-26,1,23,4.3478260869565215
2022-09-27,2,56,3.571428571428571
2022-09-28,1,20,5.0
2022-09-29,0,11,0.0
2022-09-30,0,9,0.0
2022-10-01,0,8,0.0
2022-10-02,0,9,0.0
2022-10-03,0,13,0.0
2022-10-04,1,38,2.631578947368421
2022-10-05,1,16,6.25
2022-10-06,0,11,0.0
2022-10-07,0,11,0.0
2022-10-08,0,11,0.0
2022-10-09,0,11,0.0
2022-10-10,1,16,6.25
2022-10-11,2,47,4.25531914893617
2022-10-12,1,16,6.25
2022-10-13,1,10,10.0
2022-10-14,1,7,14.285714285714285
2022-10-15,0,8,0.0
2022-10-16,0,8,0.0
2022-10-17,0,11,0.0
2022-10-18,2,39,5.128205128205128
2022-10-19,2,33,6.0606060606060606
2022-10-20,1,15,6.666666666666667
2022-10-21,1,10,10.0
2022-10-22,1,9,11.11111111111111
2022-10-23,0,9,0.0
2022-10-24,0,10,0.0
2022-10-25,2,32,6.25
2022-10-26,1,12,8.333333333333332
2022-10-27,1,8,12.5
2022-10-28,1,6,16.666666666666664
2022-10-29,1,7,14.285714285714285
2022-10-30,0,6,0.0
2022-10-31,0,7,0.0
2022-11-01,1,24,4.166666666666666
2022-11-02,1,10,10.0
2022-11-03,0,7,0.0
2022-11-04,0,5,0.0
2022-11-05,0,8,0.0
2022-11-06,0,7,0.0
2022-11-07,0,7,0.0
2022-11-08,2,30,6.666666666666667
2022-11-09,1,10,10.0
2022-11-10,0,7,0.0
2022-11-11,0,7,0.0
2022-11-12,0,6,0.0
2022-11-13,1,6,16.666666666666664
2022-11-14,0,7,0.0
2022-11-15,3,36,8.333333333333332
2022-11-16,3,14,21.428571428571427
2022-11-17,1,8,12.5
2022-11-18,1,7,14.285714285714285
2022-11-19,1,8,12.5
2022-11-20,1,7,14.285714285714285
2022-11-21,1,13,7.6923076923076925
