date,Teresa Giudice,Dancing with the Stars,normalized_score
2022-09-19,1,37,2.7027027027027026
2022-09-20,6,100,6.0
2022-09-21,3,43,6.976744186046512
2022-09-22,2,24,8.333333333333332
2022-09-23,1,15,6.666666666666667
2022-09-24,1,14,7.142857142857142
2022-09-25,2,13,15.384615384615385
2022-09-26,1,23,4.3478260869565215
2022-09-27,5,56,8.928571428571429
2022-09-28,3,20,15.0
2022-09-29,1,11,9.090909090909092
2022-09-30,1,9,11.11111111111111
2022-10-01,1,8,12.5
2022-10-02,1,9,11.11111111111111
2022-10-03,1,13,7.6923076923076925
2022-10-04,1,38,2.631578947368421
2022-10-05,1,16,6.25
2022-10-06,1,11,9.090909090909092
2022-10-07,1,11,9.090909090909092
2022-10-08,1,11,9.090909090909092
2022-10-09,1,11,9.090909090909092
2022-10-10,1,16,6.25
2022-10-11,1,47,2.127659574468085
2022-10-12,1,16,6.25
2022-10-13,1,10,10.0
2022-10-14,2,7,28.57142857142857
2022-10-15,2,8,25.0
2022-10-16,2,8,25.0
2022-10-17,2,11,18.181818181818183
2022-10-18,2,39,5.128205128205128
2022-10-19,2,33,6.0606060606060606
2022-10-20,3,15,20.0
2022-10-21,2,10,20.0
2022-10-22,1,9,11.11111111111111
2022-10-23,1,9,11.11111111111111
2022-10-24,1,10,10.0
2022-10-25,1,32,3.125
2022-10-26,1,12,8.333333333333332
2022-10-27,1,8,12.5
2022-10-28,1,6,16.666666666666664
2022-10-29,2,7,28.57142857142857
2022-10-30,2,6,33.33333333333333
2022-10-31,1,7,14.285714285714285
2022-11-01,1,24,4.166666666666666
2022-11-02,1,10,10.0
2022-11-03,1,7,14.285714285714285
2022-11-04,1,5,20.0
2022-11-05,1,8,12.5
2022-11-06,1,7,14.285714285714285
2022-11-07,1,7,14.285714285714285
2022-11-08,1,30,3.3333333333333335
2022-11-09,1,10,10.0
2022-11-10,1,7,14.285714285714285
2022-11-11,1,7,14.285714285714285
2022-11-12,1,6,16.666666666666664
2022-11-13,1,6,16.666666666666664
2022-11-14,1,7,14.285714285714285
2022-11-15,0,36,0.0
2022-11-16,1,14,7.142857142857142
2022-11-17,1,8,12.5
2022-11-18,1,7,14.285714285714285
2022-11-19,1,8,12.5
2022-11-20,1,7,14.285714285714285
2022-11-21,1,13,7.6923076923076925
