date,Vinny Guadagnino,Dancing with the Stars,normalized_score
2022-09-19,0,37,0.0
2022-09-20,1,100,1.0
2022-09-21,1,43,2.3255813953488373
2022-09-22,1,24,4.166666666666666
2022-09-23,0,15,0.0
2022-09-24,0,14,0.0
2022-09-25,0,13,0.0
2022-09-26,0,23,0.0
2022-09-27,1,56,1.7857142857142856
2022-09-28,0,20,0.0
2022-09-29,0,11,0.0
2022-09-30,1,9,11.11111111111111
2022-10-01,0,8,0.0
2022-10-02,0,9,0.0
2022-10-03,0,13,0.0
2022-10-04,1,38,2.631578947368421
2022-10-05,0,16,0.0
2022-10-06,0,11,0.0
2022-10-07,1,11,9.090909090909092
2022-10-08,1,11,9.090909090909092
2022-10-09,0,11,0.0
2022-10-10,0,16,0.0
2022-10-11,1,47,2.127659574468085
2022-10-12,1,16,6.25
2022-10-13,1,10,10.0
2022-10-14,1,7,14.285714285714285
2022-10-15,0,8,0.0
2022-10-16,0,8,0.0
2022-10-17,1,11,9.090909090909092
2022-10-18,1,39,2.564102564102564
2022-10-19,1,33,3.0303030303030303
2022-10-20,1,15,6.666666666666667
2022-10-21,1,10,10.0
2022-10-22,1,9,11.11111111111111
2022-10-23,0,9,0.0
2022-10-24,0,10,0.0
2022-10-25,1,32,3.125
2022-10-26,1,12,8.333333333333332
2022-10-27,0,8,0.0
2022-10-28,0,6,0.0
2022-10-29,0,7,0.0
2022-10-30,0,6,0.0
2022-10-31,0,7,0.0
2022-11-01,1,24,4.166666666666666
2022-11-02,0,10,0.0
2022-11-03,0,7,0.0
2022-11-04,0,5,0.0
2022-11-05,0,8,0.0
2022-11-06,0,7,0.0
2022-11-07,0,7,0.0
2022-11-08,1,30,3.3333333333333335
2022-11-09,1,10,10.0
2022-11-10,0,7,0.0
2022-11-11,0,7,0.0
2022-11-12,0,6,0.0
2022-11-13,0,6,0.0
2022-11-14,0,7,0.0
2022-11-15,0,36,0.0
2022-11-16,1,14,7.142857142857142
2022-11-17,1,8,12.5
2022-11-18,1,7,14.285714285714285
2022-11-19,1,8,12.5
2022-11-20,1,7,14.285714285714285
2022-11-21,0,13,0.0
