date,Alyson Hannigan,Dancing with the Stars,normalized_score
2023-09-26,1,26,3.8461538461538463
2023-09-27,11,100,11.0
2023-09-28,3,24,12.5
2023-09-29,1,13,7.6923076923076925
2023-09-30,1,10,10.0
2023-10-01,1,10,10.0
2023-10-02,1,10,10.0
2023-10-03,1,16,6.25
2023-10-04,4,50,8.0
2023-10-05,2,13,15.384615384615385
2023-10-06,1,8,12.5
2023-10-07,1,8,12.5
2023-10-08,1,6,16.666666666666664
2023-10-09,1,7,14.285714285714285
2023-10-10,1,11,9.090909090909092
2023-10-11,6,51,11.76470588235294
2023-10-12,1,11,9.090909090909092
2023-10-13,1,6,16.666666666666664
2023-10-14,1,6,16.666666666666664
2023-10-15,1,6,16.666666666666664
2023-10-16,0,6,0.0
2023-10-17,1,10,10.0
2023-10-18,3,43,6.976744186046512
2023-10-19,1,14,7.142857142857142
2023-10-20,1,8,12.5
2023-10-21,1,6,16.666666666666664
2023-10-22,1,6,16.666666666666664
2023-10-23,1,6,16.666666666666664
2023-10-24,1,11,9.090909090909092
2023-10-25,7,50,14.000000000000002
2023-10-26,2,25,8.0
2023-10-27,1,11,9.090909090909092
2023-10-28,2,7,28.57142857142857
2023-10-29,1,5,20.0
2023-10-30,1,5,20.0
2023-10-31,1,8,12.5
2023-11-01,4,35,11.428571428571429
2023-11-02,1,8,12.5
2023-11-03,1,6,16.666666666666664
2023-11-04,2,6,33.33333333333333
2023-11-05,1,5,20.0
2023-11-06,1,5,20.0
2023-11-07,1,7,14.285714285714285
2023-11-08,4,43,9.30232558139535
2023-11-09,1,10,10.0
2023-11-10,1,7,14.285714285714285
2023-11-11,1,6,16.666666666666664
2023-11-12,1,6,16.666666666666664
2023-11-13,1,4,25.0
2023-11-14,1,7,14.285714285714285
2023-11-15,7,48,14.583333333333334
2023-11-16,1,15,6.666666666666667
2023-11-17,1,8,12.5
2023-11-18,2,6,33.33333333333333
2023-11-19,1,6,16.666666666666664
2023-11-20,1,5,20.0
2023-11-21,1,13,7.6923076923076925
2023-11-22,9,78,11.538461538461538
2023-11-23,2,13,15.384615384615385
2023-11-24,1,7,14.285714285714285
2023-11-25,1,7,14.285714285714285
2023-11-26,1,6,16.666666666666664
2023-11-27,1,5,20.0
2023-11-28,1,8,12.5
2023-11-29,8,53,15.09433962264151
2023-11-30,2,12,16.666666666666664
2023-12-01,1,7,14.285714285714285
2023-12-02,1,7,14.285714285714285
2023-12-03,1,6,16.666666666666664
2023-12-04,1,5,20.0
2023-12-05,1,13,7.6923076923076925
