date,Ariana Madix,Dancing with the Stars,normalized_score
2023-09-26,1,28,3.571428571428571
2023-09-27,13,100,13.0
2023-09-28,6,26,23.076923076923077
2023-09-29,2,13,15.384615384615385
2023-09-30,1,11,9.090909090909092
2023-10-01,1,10,10.0
2023-10-02,1,10,10.0
2023-10-03,1,17,5.88235294117647
2023-10-04,5,54,9.25925925925926
2023-10-05,2,14,14.285714285714285
2023-10-06,1,8,12.5
2023-10-07,1,8,12.5
2023-10-08,1,7,14.285714285714285
2023-10-09,1,7,14.285714285714285
2023-10-10,1,12,8.333333333333332
2023-10-11,5,50,10.0
2023-10-12,1,11,9.090909090909092
2023-10-13,1,7,14.285714285714285
2023-10-14,1,6,16.666666666666664
2023-10-15,1,6,16.666666666666664
2023-10-16,1,6,16.666666666666664
2023-10-17,1,11,9.090909090909092
2023-10-18,4,44,9.090909090909092
2023-10-19,2,15,13.333333333333334
2023-10-20,1,9,11.11111111111111
2023-10-21,1,7,14.285714285714285
2023-10-22,1,6,16.666666666666664
2023-10-23,1,6,16.666666666666664
2023-10-24,1,12,8.333333333333332
2023-10-25,6,55,10.909090909090908
2023-10-26,2,25,8.0
2023-10-27,1,12,8.333333333333332
2023-10-28,1,7,14.285714285714285
2023-10-29,1,6,16.666666666666664
2023-10-30,1,5,20.0
2023-10-31,1,8,12.5
2023-11-01,3,38,7.894736842105263
2023-11-02,1,9,11.11111111111111
2023-11-03,1,6,16.666666666666664
2023-11-04,1,7,14.285714285714285
2023-11-05,1,6,16.666666666666664
2023-11-06,1,5,20.0
2023-11-07,1,8,12.5
2023-11-08,6,45,13.333333333333334
2023-11-09,2,11,18.181818181818183
2023-11-10,2,7,28.57142857142857
2023-11-11,2,7,28.57142857142857
2023-11-12,2,6,33.33333333333333
2023-11-13,2,5,40.0
2023-11-14,1,7,14.285714285714285
2023-11-15,4,52,7.6923076923076925
2023-11-16,2,17,11.76470588235294
2023-11-17,1,9,11.11111111111111
2023-11-18,1,7,14.285714285714285
2023-11-19,1,7,14.285714285714285
2023-11-20,1,6,16.666666666666664
2023-11-21,1,14,7.142857142857142
2023-11-22,6,81,7.4074074074074066
2023-11-23,1,14,7.142857142857142
2023-11-24,1,7,14.285714285714285
2023-11-25,1,7,14.285714285714285
2023-11-26,1,6,16.666666666666664
2023-11-27,1,6,16.666666666666664
2023-11-28,1,8,12.5
2023-11-29,6,59,10.16949152542373
2023-11-30,2,13,15.384615384615385
2023-12-01,1,7,14.285714285714285
2023-12-02,1,7,14.285714285714285
2023-12-03,1,6,16.666666666666664
2023-12-04,1,6,16.666666666666664
2023-12-05,1,14,7.142857142857142
