date,Barry Williams,Dancing with the Stars,normalized_score
2023-09-26,1,26,3.8461538461538463
2023-09-27,30,100,30.0
2023-09-28,5,24,20.833333333333336
2023-09-29,2,13,15.384615384615385
2023-09-30,3,10,30.0
2023-10-01,2,10,20.0
2023-10-02,1,10,10.0
2023-10-03,1,16,6.25
2023-10-04,9,50,18.0
2023-10-05,2,13,15.384615384615385
2023-10-06,1,8,12.5
2023-10-07,1,8,12.5
2023-10-08,1,6,16.666666666666664
2023-10-09,1,7,14.285714285714285
2023-10-10,1,11,9.090909090909092
2023-10-11,8,51,15.686274509803921
2023-10-12,1,11,9.090909090909092
2023-10-13,1,6,16.666666666666664
2023-10-14,1,6,16.666666666666664
2023-10-15,1,6,16.666666666666664
2023-10-16,0,6,0.0
2023-10-17,1,10,10.0
2023-10-18,11,43,25.581395348837212
2023-10-19,5,14,35.714285714285715
2023-10-20,3,8,37.5
2023-10-21,1,6,16.666666666666664
2023-10-22,1,6,16.666666666666664
2023-10-23,1,6,16.666666666666664
2023-10-24,1,11,9.090909090909092
2023-10-25,10,50,20.0
2023-10-26,2,25,8.0
2023-10-27,1,11,9.090909090909092
2023-10-28,1,7,14.285714285714285
2023-10-29,1,5,20.0
2023-10-30,1,5,20.0
2023-10-31,1,8,12.5
2023-11-01,8,35,22.857142857142858
2023-11-02,1,8,12.5
2023-11-03,1,6,16.666666666666664
2023-11-04,1,6,16.666666666666664
2023-11-05,1,5,20.0
2023-11-06,0,5,0.0
2023-11-07,0,7,0.0
2023-11-08,10,43,23.25581395348837
2023-11-09,2,10,20.0
2023-11-10,1,7,14.285714285714285
2023-11-11,1,6,16.666666666666664
2023-11-12,1,6,16.666666666666664
2023-11-13,1,4,25.0
2023-11-14,1,7,14.285714285714285
2023-11-15,21,48,43.75
2023-11-16,10,15,66.66666666666666
2023-11-17,10,8,125.0
2023-11-18,6,6,100.0
2023-11-19,1,6,16.666666666666664
2023-11-20,1,5,20.0
2023-11-21,1,13,7.6923076923076925
2023-11-22,1,78,1.282051282051282
2023-11-23,1,13,7.6923076923076925
2023-11-24,1,7,14.285714285714285
2023-11-25,0,7,0.0
2023-11-26,0,6,0.0
2023-11-27,0,5,0.0
2023-11-28,0,8,0.0
2023-11-29,1,53,1.8867924528301887
2023-11-30,0,12,0.0
2023-12-01,0,7,0.0
2023-12-02,0,7,0.0
2023-12-03,0,6,0.0
2023-12-04,0,5,0.0
2023-12-05,0,13,0.0
