date,Charity Lawson,Dancing with the Stars,normalized_score
2023-09-26,1,28,3.571428571428571
2023-09-27,3,100,3.0
2023-09-28,1,26,3.8461538461538463
2023-09-29,1,13,7.6923076923076925
2023-09-30,1,11,9.090909090909092
2023-10-01,0,10,0.0
2023-10-02,0,10,0.0
2023-10-03,0,17,0.0
2023-10-04,3,54,5.555555555555555
2023-10-05,1,14,7.142857142857142
2023-10-06,1,8,12.5
2023-10-07,0,8,0.0
2023-10-08,0,7,0.0
2023-10-09,0,7,0.0
2023-10-10,0,12,0.0
2023-10-11,3,50,6.0
2023-10-12,1,11,9.090909090909092
2023-10-13,0,7,0.0
2023-10-14,0,6,0.0
2023-10-15,0,6,0.0
2023-10-16,0,6,0.0
2023-10-17,0,11,0.0
2023-10-18,2,44,4.545454545454546
2023-10-19,0,15,0.0
2023-10-20,0,9,0.0
2023-10-21,0,7,0.0
2023-10-22,0,6,0.0
2023-10-23,0,6,0.0
2023-10-24,0,12,0.0
2023-10-25,2,55,3.6363636363636362
2023-10-26,1,25,4.0
2023-10-27,1,12,8.333333333333332
2023-10-28,0,7,0.0
2023-10-29,0,6,0.0
2023-10-30,0,5,0.0
2023-10-31,0,8,0.0
2023-11-01,1,38,2.631578947368421
2023-11-02,0,9,0.0
2023-11-03,1,6,16.666666666666664
2023-11-04,1,7,14.285714285714285
2023-11-05,1,6,16.666666666666664
2023-11-06,0,5,0.0
2023-11-07,0,8,0.0
2023-11-08,2,45,4.444444444444445
2023-11-09,1,11,9.090909090909092
2023-11-10,1,7,14.285714285714285
2023-11-11,1,7,14.285714285714285
2023-11-12,0,6,0.0
2023-11-13,0,5,0.0
2023-11-14,0,7,0.0
2023-11-15,3,52,5.769230769230769
2023-11-16,0,17,0.0
2023-11-17,0,9,0.0
2023-11-18,0,7,0.0
2023-11-19,0,7,0.0
2023-11-20,0,6,0.0
2023-11-21,0,14,0.0
2023-11-22,4,81,4.938271604938271
2023-11-23,1,14,7.142857142857142
2023-11-24,0,7,0.0
2023-11-25,0,7,0.0
2023-11-26,0,6,0.0
2023-11-27,0,6,0.0
2023-11-28,0,8,0.0
2023-11-29,4,59,6.779661016949152
2023-11-30,1,13,7.6923076923076925
2023-12-01,1,7,14.285714285714285
2023-12-02,1,7,14.285714285714285
2023-12-03,0,6,0.0
2023-12-04,0,6,0.0
2023-12-05,1,14,7.142857142857142
