date,Harry Jowsey,Dancing with the Stars,normalized_score
2023-09-26,2,28,7.142857142857142
2023-09-27,14,100,14.000000000000002
2023-09-28,4,26,15.384615384615385
2023-09-29,3,13,23.076923076923077
2023-09-30,3,11,27.27272727272727
2023-10-01,3,10,30.0
2023-10-02,1,10,10.0
2023-10-03,2,17,11.76470588235294
2023-10-04,6,54,11.11111111111111
2023-10-05,5,14,35.714285714285715
2023-10-06,5,8,62.5
2023-10-07,4,8,50.0
2023-10-08,3,7,42.857142857142854
2023-10-09,2,7,28.57142857142857
2023-10-10,2,12,16.666666666666664
2023-10-11,14,50,28.000000000000004
2023-10-12,4,11,36.36363636363637
2023-10-13,3,7,42.857142857142854
2023-10-14,3,6,50.0
2023-10-15,2,6,33.33333333333333
2023-10-16,2,6,33.33333333333333
2023-10-17,2,11,18.181818181818183
2023-10-18,11,44,25.0
2023-10-19,4,15,26.666666666666668
2023-10-20,3,9,33.33333333333333
2023-10-21,2,7,28.57142857142857
2023-10-22,3,6,50.0
2023-10-23,2,6,33.33333333333333
2023-10-24,2,12,16.666666666666664
2023-10-25,8,55,14.545454545454545
2023-10-26,3,25,12.0
2023-10-27,3,12,25.0
2023-10-28,2,7,28.57142857142857
2023-10-29,2,6,33.33333333333333
2023-10-30,2,5,40.0
2023-10-31,1,8,12.5
2023-11-01,5,38,13.157894736842104
2023-11-02,2,9,22.22222222222222
2023-11-03,1,6,16.666666666666664
2023-11-04,1,7,14.285714285714285
2023-11-05,1,6,16.666666666666664
2023-11-06,1,5,20.0
2023-11-07,1,8,12.5
2023-11-08,7,45,15.555555555555555
2023-11-09,2,11,18.181818181818183
2023-11-10,1,7,14.285714285714285
2023-11-11,1,7,14.285714285714285
2023-11-12,1,6,16.666666666666664
2023-11-13,1,5,20.0
2023-11-14,1,7,14.285714285714285
2023-11-15,8,52,15.384615384615385
2023-11-16,2,17,11.76470588235294
2023-11-17,1,9,11.11111111111111
2023-11-18,1,7,14.285714285714285
2023-11-19,2,7,28.57142857142857
2023-11-20,1,6,16.666666666666664
2023-11-21,1,14,7.142857142857142
2023-11-22,19,81,23.456790123456788
2023-11-23,6,14,42.857142857142854
2023-11-24,6,7,85.71428571428571
2023-11-25,5,7,71.42857142857143
2023-11-26,4,6,66.66666666666666
2023-11-27,3,6,50.0
2023-11-28,3,8,37.5
2023-11-29,3,59,5.084745762711865
2023-11-30,2,13,15.384615384615385
2023-12-01,1,7,14.285714285714285
2023-12-02,1,7,14.285714285714285
2023-12-03,1,6,16.666666666666664
2023-12-04,1,6,16.666666666666664
2023-12-05,1,14,7.142857142857142
